Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
197,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,32,1987,15.5,457,550,83.1,13167,7364,78,79,98.7,211,211,100.0,165,257,64.2,0,0.0,0.0,0,2,0,0,0,Matches
198,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,30,1990,30.3,1173,1390,84.4,22550,6280,414,484,85.5,587,641,91.6,142,199,71.4,3,1.5,+1.5,18,97,17,3,107,Matches
199,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,28,1992,20.2,763,1025,74.4,14975,4327,337,389,86.6,274,333,82.3,134,248,54.0,11,5.5,+5.5,57,53,25,4,65,Matches
200,Marco Höger\Marco-Hoger,de GER,DF,Köln,30,1989,0.6,21,31,67.7,383,167,9,10,90.0,9,14,64.3,3,7,42.9,0,0.0,0.0,0,1,1,0,4,Matches
201,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,26,1994,23.2,446,659,67.7,6749,1284,273,341,80.1,129,201,64.2,30,57,52.6,4,3.0,+1.0,21,28,14,1,40,Matches
202,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,19,2001,14.5,186,256,72.7,2602,442,109,136,80.1,56,79,70.9,9,16,56.3,1,0.8,+0.2,7,7,7,1,14,Matches
203,Jannes Horn\Jannes-Horn,de GER,DF,Köln,23,1997,19.6,722,907,79.6,15423,6270,208,239,87.0,385,442,87.1,122,207,58.9,1,1.6,-0.6,15,52,19,14,68,Matches
204,Timo Horn\Timo-Horn,de GER,GK,Köln,27,1993,33.4,974,1326,73.5,30721,19007,138,139,99.3,419,423,99.1,412,758,54.4,0,0.0,0.0,1,26,1,0,0,Matches
205,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,30,1989,28.5,1072,1391,77.1,29990,19082,167,167,100.0,520,527,98.7,378,687,55.0,0,0.0,0.0,0,9,0,0,1,Matches
206,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,24,1996,3.0,199,244,81.6,3896,1166,77,81,95.1,82,89,92.1,36,64,56.3,0,0.4,-0.4,6,25,10,2,25,Matches
207,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,29,1991,5.8,177,238,74.4,3308,1367,71,79,89.9,84,112,75.0,18,40,45.0,0,0.0,0.0,0,13,2,1,13,Matches
208,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,31,1988,31.3,2293,2581,88.8,56458,14700,416,454,91.6,1267,1348,94.0,605,759,79.7,0,0.9,-0.9,10,140,9,0,136,Matches
209,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,103,135,76.3,1500,228,55,67,82.1,38,50,76.0,3,6,50.0,1,0.5,+0.5,4,5,5,1,8,Matches
210,Iago\Iago,br BRA,DF,Augsburg,23,1997,17.3,605,820,73.8,11384,3885,252,289,87.2,276,346,79.8,76,158,48.1,1,1.1,-0.1,14,19,18,10,41,Matches
211,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Schalke 04,35,1984,1.7,25,35,71.4,355,42,15,19,78.9,6,9,66.7,2,3,66.7,0,0.0,0.0,2,2,0,0,2,Matches
212,Blendi Idrizi\Blendi-Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,52,68,76.5,800,288,37,44,84.1,9,12,75.0,6,8,75.0,0,0.2,-0.2,1,6,2,0,6,Matches
213,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,31,1989,17.5,708,883,80.2,13924,4416,261,289,90.3,347,410,84.6,91,156,58.3,0,0.2,-0.2,5,58,5,1,66,Matches
214,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,24,1996,21.8,463,652,71.0,7338,2027,235,281,83.6,163,232,70.3,38,85,44.7,5,2.1,+2.9,21,33,11,3,43,Matches
215,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,20,1999,19.2,465,696,66.8,7879,2715,248,301,82.4,152,231,65.8,53,121,43.8,1,2.0,-1.0,14,19,20,13,37,Matches
216,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,30,1990,3.0,234,254,92.1,4840,1490,68,71,95.8,127,133,95.5,36,44,81.8,0,0.0,0.0,0,8,0,0,16,Matches
217,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,35,1984,8.0,184,284,64.8,6322,4035,22,23,95.7,78,79,98.7,83,181,45.9,0,0.0,0.0,0,2,0,0,0,Matches
