Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
270,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,160,210,76.2,2922,629,72,88,81.8,69,84,82.1,17,25,68.0,1,0.6,+0.4,5,6,6,3,13,Matches
271,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,25,1994,25.0,976,1340,72.8,18290,7643,436,510,85.5,395,507,77.9,130,253,51.4,3,2.0,+1.0,19,72,30,12,108,Matches
272,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,543,710,76.5,8374,1538,299,366,81.7,170,212,80.2,46,63,73.0,7,3.6,+3.4,30,34,26,4,52,Matches
273,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24,1996,33.3,1634,1906,85.7,39611,10364,264,299,88.3,988,1043,94.7,377,540,69.8,0,0.3,-0.3,3,76,1,0,75,Matches
274,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22,1998,4.2,83,131,63.4,1401,459,42,57,73.7,33,44,75.0,7,17,41.2,0,0.5,-0.5,4,2,4,1,8,Matches
275,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27,1993,1.5,48,60,80.0,1217,848,12,12,100.0,25,25,100.0,11,23,47.8,0,0.0,0.0,0,0,0,0,0,Matches
276,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,23,1997,0.9,52,69,75.4,977,238,19,23,82.6,28,35,80.0,4,7,57.1,0,0.0,0.0,0,3,2,1,3,Matches
277,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21,1999,0.4,7,13,53.8,68,3,5,10,50.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
278,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,501,736,68.1,9404,3647,199,239,83.3,236,331,71.3,57,120,47.5,0,0.1,-0.1,6,36,6,0,49,Matches
279,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20,2000,5.8,220,294,74.8,3616,1738,112,131,85.5,89,111,80.2,16,34,47.1,0,0.3,-0.3,5,10,8,3,24,Matches
280,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,22,1997,20.6,400,533,75.0,7381,1332,184,233,79.0,147,187,78.6,55,77,71.4,5,2.5,+2.5,21,23,13,6,34,Matches
281,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33,1987,30.8,815,1138,71.6,25013,16032,142,144,98.6,363,371,97.8,309,621,49.8,0,0.0,0.0,0,10,0,0,0,Matches
282,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,2,3,66.7,41,2,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
283,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,20,2000,0.1,2,3,66.7,27,10,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
284,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,18,2002,0.1,2,2,100.0,28,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
285,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,21,1999,0.3,20,21,95.2,463,108,5,5,100.0,12,12,100.0,3,4,75.0,0,0.2,-0.2,1,2,1,0,3,Matches
286,Arne Maier\Arne-Maier,de GER,MF,Arminia,21,1999,11.5,306,419,73.0,6236,1365,113,138,81.9,129,164,78.7,60,99,60.6,0,1.4,-1.4,12,21,10,1,29,Matches
287,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,28,1992,0.6,11,13,84.6,204,62,4,4,100.0,6,7,85.7,1,2,50.0,0,0.1,-0.1,2,2,1,0,2,Matches
288,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22,1998,23.4,881,1040,84.7,15174,4051,412,464,88.8,378,426,88.7,75,108,69.4,3,1.5,+1.5,16,69,12,1,81,Matches
289,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21,1999,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
290,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23,1997,2.9,122,169,72.2,2219,899,54,61,88.5,49,67,73.1,17,34,50.0,0,0.4,-0.4,5,9,4,4,6,Matches
291,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,31,1988,5.2,352,390,90.3,7250,1778,105,115,91.3,189,207,91.3,56,66,84.8,0,0.2,-0.2,1,34,2,0,25,Matches
292,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,22,1998,1.0,37,49,75.5,829,366,11,11,100.0,19,19,100.0,7,19,36.8,0,0.0,0.0,0,0,0,0,0,Matches
293,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,726,883,82.2,15695,3703,233,262,88.9,342,389,87.9,142,205,69.3,1,0.5,+0.5,7,49,7,0,66,Matches
294,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,19,2000,8.4,226,299,75.6,3881,984,108,133,81.2,94,114,82.5,19,31,61.3,0,1.4,-1.4,8,7,9,2,18,Matches
295,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,182,252,72.2,2553,307,107,135,79.3,55,74,74.3,10,13,76.9,1,1.5,-0.5,14,5,4,0,6,Matches
296,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,19,2000,2.4,34,40,85.0,584,56,18,20,90.0,10,10,100.0,4,5,80.0,0,0.1,-0.1,3,2,3,0,3,Matches
297,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,20,2000,0.3,3,5,60.0,72,72,1,3,33.3,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
298,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,844,1059,79.7,17917,7314,284,327,86.9,409,465,88.0,143,239,59.8,0,0.3,-0.3,4,72,6,2,75,Matches
299,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31,1989,9.1,178,220,80.9,2415,404,118,133,88.7,46,57,80.7,7,9,77.8,0,1.6,-1.6,11,9,6,0,17,Matches
300,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,719,1029,69.9,14651,6665,235,300,78.3,386,485,79.6,96,194,49.5,1,1.2,-0.2,13,68,30,11,141,Matches
301,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20,2000,12.9,257,364,70.6,4497,1374,124,158,78.5,106,143,74.1,22,47,46.8,1,0.6,+0.4,7,20,6,2,22,Matches
302,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,22,1997,7.1,210,316,66.5,3562,1591,105,118,89.0,82,130,63.1,16,48,33.3,1,0.6,+0.4,3,13,4,2,13,Matches
303,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,24,1996,0.1,2,3,66.7,19,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
304,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,29,1991,9.1,347,442,78.5,5595,1392,185,223,83.0,119,142,83.8,29,48,60.4,2,2.0,0.0,17,35,17,3,44,Matches
305,Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,22,1997,1.1,23,29,79.3,340,144,12,16,75.0,9,10,90.0,1,1,100.0,0,0.0,0.0,0,3,0,0,5,Matches
306,Levent Mercan\Levent-Mercan,de GER,FW,Schalke 04,19,2000,0.1,1,1,100.0,30,5,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
307,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,23,1997,14.4,603,680,88.7,14241,3552,130,139,93.5,334,355,94.1,133,176,75.6,0,0.2,-0.2,3,32,5,0,23,Matches
308,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,28,1991,16.4,1024,1253,81.7,18826,5553,450,502,89.6,441,511,86.3,119,191,62.3,1,1.7,-0.7,13,73,22,11,88,Matches
309,Max Meyer\Max-Meyer,de GER,MF,Köln,24,1995,3.9,216,260,83.1,3599,654,109,121,90.1,72,87,82.8,26,38,68.4,0,0.1,-0.1,2,17,7,0,17,Matches
310,Jonas Michel Dirkner\Jonas-Michel-Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,2,4,50.0,65,43,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
311,Jonas Michelbrink\Jonas-Michelbrink,de GER,MF,Hertha BSC,19,2001,0.4,11,15,73.3,158,39,5,6,83.3,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
312,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,23,1997,20.0,842,1126,74.8,17180,5985,308,365,84.4,375,447,83.9,150,270,55.6,2,1.9,+0.1,23,63,28,14,81,Matches
313,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,32,1988,2.5,28,48,58.3,391,43,22,30,73.3,3,9,33.3,2,3,66.7,0,0.0,0.0,1,1,0,0,0,Matches
314,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27,1993,17.3,833,987,84.4,14422,3121,409,451,90.7,304,342,88.9,95,144,66.0,1,1.0,0.0,12,65,11,2,60,Matches
315,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,34,1985,13.6,797,886,90.0,18052,5795,191,206,92.7,447,474,94.3,156,194,80.4,0,0.0,0.0,2,41,3,0,46,Matches
316,Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DFFW,Stuttgart,17,2002,0.4,13,18,72.2,194,35,5,7,71.4,6,6,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,Matches
317,Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,30,1989,3.0,98,144,68.1,1621,389,46,66,69.7,33,43,76.7,12,20,60.0,0,0.0,0.0,1,10,0,0,9,Matches
318,Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,20,2000,9.2,629,747,84.2,11653,3181,288,318,90.6,244,286,85.3,90,126,71.4,2,0.6,+1.4,7,35,14,5,48,Matches
319,Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FWMF,Dortmund,15,2004,4.7,60,78,76.9,845,123,33,40,82.5,15,23,65.2,5,6,83.3,0,0.7,-0.7,1,2,1,0,3,Matches
320,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,22,1997,18.6,891,1144,77.9,16725,6573,381,461,82.6,388,464,83.6,114,167,68.3,1,1.5,-0.5,10,60,17,6,96,Matches
321,Florian Müller\Florian-Muller,de GER,GK,Freiburg,22,1997,31.0,914,1338,68.3,27516,17236,130,130,100.0,481,487,98.8,300,715,42.0,0,0.0,0.0,1,22,3,0,0,Matches
322,Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,19,2001,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
323,Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,30,1989,29.7,1132,1528,74.1,19519,5212,557,695,80.1,429,552,77.7,112,179,62.6,19,11.5,+7.5,90,95,62,21,133,Matches
324,Petar Musa\Petar-Musa,hr CRO,FW,Union Berlin,22,1998,7.9,123,218,56.4,1585,323,82,133,61.7,31,61,50.8,3,10,30.0,3,0.8,+2.2,8,5,3,0,12,Matches
325,Jamal Musiala\Jamal-Musiala,de GER,FWMF,Bayern Munich,17,2003,9.8,369,435,84.8,5638,1157,190,216,88.0,135,158,85.4,24,30,80.0,1,0.9,+0.1,9,24,13,1,38,Matches
326,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Schalke 04,28,1992,11.5,447,560,79.8,10947,3703,85,98,86.7,246,281,87.5,113,173,65.3,0,0.0,0.0,1,33,1,0,35,Matches
327,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,26,1994,18.6,375,590,63.6,7118,3425,171,204,83.8,129,202,63.9,63,131,48.1,2,1.4,+0.6,18,24,26,9,48,Matches
328,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,20,1999,22.7,1139,1331,85.6,20173,7579,516,554,93.1,493,565,87.3,115,168,68.5,1,0.3,+0.7,5,70,4,1,82,Matches
329,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,27,1993,13.6,594,679,87.5,14049,3895,133,142,93.7,312,336,92.9,145,196,74.0,0,0.0,0.0,0,22,0,0,20,Matches
330,Paul Nebel\Paul-Nebel,de GER,MF,Mainz 05,17,2002,0.6,22,28,78.6,418,97,10,13,76.9,9,10,90.0,3,4,75.0,0,0.0,0.0,0,3,1,0,2,Matches
331,Luca Netz\Luca-Netz,de GER,DF,Hertha BSC,17,2003,3.4,131,169,77.5,2321,664,48,58,82.8,69,76,90.8,10,27,37.0,0,0.1,-0.1,2,6,2,1,12,Matches
332,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34,1986,33.0,1137,1317,86.3,32279,17759,175,177,98.9,520,524,99.2,438,609,71.9,0,0.2,-0.2,1,7,0,0,4,Matches
333,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,23,1997,29.1,1478,1768,83.6,29020,8857,584,653,89.4,663,761,87.1,212,304,69.7,5,2.4,+2.6,22,141,32,1,178,Matches
334,Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20,2000,3.3,40,53,75.5,642,92,18,23,78.3,15,21,71.4,5,5,100.0,0,0.0,0.0,1,2,0,0,2,Matches
335,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,24,1996,31.8,1131,1528,74.0,24796,10864,319,371,86.0,592,731,81.0,213,386,55.2,1,2.0,-1.0,15,97,13,4,112,Matches
336,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,29,1990,19.3,229,325,70.5,4030,770,104,137,75.9,84,111,75.7,30,46,65.2,4,3.0,+1.0,13,16,9,1,24,Matches
337,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,26,1994,24.0,892,1058,84.3,20000,5795,220,246,89.4,490,542,90.4,178,256,69.5,0,0.1,-0.1,2,33,1,1,43,Matches
338,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,22,1997,21.0,787,1011,77.8,12223,4047,448,502,89.2,230,284,81.0,77,166,46.4,6,7.5,-1.5,71,41,41,5,77,Matches
339,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30,1990,7.8,383,449,85.3,9333,3604,86,98,87.8,197,216,91.2,96,129,74.4,0,0.3,-0.3,3,34,2,0,26,Matches
340,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,23,1996,1.0,33,35,94.3,854,512,7,7,100.0,15,15,100.0,11,13,84.6,0,0.0,0.0,0,1,0,0,0,Matches
341,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Hoffenheim,25,1995,11.0,550,647,85.0,12240,4711,135,148,91.2,308,331,93.1,99,149,66.4,0,0.0,0.0,1,59,3,0,55,Matches
342,Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,31,1989,21.4,885,1128,78.5,15852,6596,404,438,92.2,372,442,84.2,100,202,49.5,2,1.5,+0.5,27,49,19,7,75,Matches
343,Masaya Okugawa\Masaya-Okugawa,jp JPN,MF,Arminia,24,1996,10.2,99,162,61.1,1414,430,58,77,75.3,29,47,61.7,6,24,25.0,0,0.8,-0.8,3,8,2,0,10,Matches
344,Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,22,1998,24.4,982,1261,77.9,15563,4760,546,634,86.1,310,392,79.1,86,143,60.1,9,4.9,+4.1,38,104,54,4,143,Matches
345,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,28,1992,20.5,265,423,62.6,4144,804,137,204,67.2,87,135,64.4,25,47,53.2,0,2.4,-2.4,18,12,12,5,27,Matches
346,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,27,1992,26.3,1817,2057,88.3,36267,11721,548,605,90.6,1033,1113,92.8,219,308,71.1,1,0.8,+0.2,8,197,10,2,143,Matches
347,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,27,1992,34.0,1388,1966,70.6,50579,32451,119,123,96.7,605,616,98.2,664,1226,54.2,1,0.6,+0.4,6,99,10,0,3,Matches
348,Yuya Osako\Yuya-Osako,jp JPN,MFFW,Werder Bremen,30,1990,8.5,170,249,68.3,2767,786,87,118,73.7,64,89,71.9,15,30,50.0,1,1.5,-0.5,10,18,6,0,25,Matches
349,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,25,1994,19.3,742,989,75.0,14520,5205,276,312,88.5,364,466,78.1,94,175,53.7,2,1.9,+0.1,16,41,28,17,76,Matches
350,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,21,1998,15.1,559,662,84.4,11829,4263,154,177,87.0,315,341,92.4,85,127,66.9,0,0.1,-0.1,2,33,2,1,58,Matches
351,Salih Özcan\Salih-Ozcan,de GER,MF,Köln,22,1998,15.2,560,696,80.5,10052,2394,243,294,82.7,222,258,86.0,68,102,66.7,1,0.7,+0.3,12,41,3,1,39,Matches
352,Levin Öztunalı\Levin-Oztunali,de GER,DFFW,Mainz 05,24,1996,8.4,167,270,61.9,2925,1375,90,107,84.1,55,91,60.4,19,52,36.5,2,0.9,+1.1,10,17,11,4,25,Matches
353,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Schalke 04,25,1994,8.3,111,182,61.0,1834,414,59,91,64.8,32,52,61.5,14,24,58.3,1,0.6,+0.4,3,7,2,1,9,Matches
354,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,21,1998,6.4,371,428,86.7,6208,1616,201,215,93.5,125,148,84.5,39,52,75.0,0,0.9,-0.9,9,27,4,1,27,Matches
355,Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,19,2001,0.0,1,1,100.0,9,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
356,Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,22,1998,4.0,256,303,84.5,4369,981,128,133,96.2,104,117,88.9,23,38,60.5,0,0.2,-0.2,3,13,5,2,14,Matches
357,Paulinho\Paulinho,br BRA,FW,Leverkusen,20,2000,0.7,21,26,80.8,264,33,16,19,84.2,4,5,80.0,1,1,100.0,0,0.0,0.0,0,2,0,0,2,Matches
358,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,24,1996,21.6,1434,1680,85.4,26141,9361,623,688,90.6,638,714,89.4,158,237,66.7,0,1.9,-1.9,14,140,29,11,164,Matches
359,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34.0,845,1148,73.6,26547,16288,140,141,99.3,361,367,98.4,338,634,53.3,0,0.0,0.0,0,8,0,0,0,Matches
360,Vasileios Pavlidis\Vasileios-Pavlidis,gr GRE,FW,Schalke 04,17,2002,0.0,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
361,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,23,1996,9.9,297,422,70.4,5554,2300,141,154,91.6,111,155,71.6,41,90,45.6,0,0.8,-0.8,12,12,6,1,18,Matches
362,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,33,1986,18.8,780,947,82.4,14534,4920,327,356,91.9,359,417,86.1,90,156,57.7,1,0.9,+0.1,9,44,15,9,64,Matches
363,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35,1985,3.0,93,110,84.5,2212,1248,28,28,100.0,43,44,97.7,21,37,56.8,0,0.0,0.0,0,1,0,0,0,Matches
364,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,32,1987,2.0,51,71,71.8,1651,1013,7,7,100.0,26,26,100.0,18,37,48.6,0,0.0,0.0,0,0,0,0,0,Matches
365,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,31,1988,14.5,171,254,67.3,2480,431,103,138,74.6,43,65,66.2,13,19,68.4,0,1.5,-1.5,9,12,4,0,15,Matches
366,Lukas Petkov\Lukas-Petkov,de GER,MF,Augsburg,19,2000,0.0,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
367,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,26,1994,12.3,279,383,72.8,4117,827,165,213,77.5,87,114,76.3,15,29,51.7,2,1.5,+0.5,15,17,8,1,19,Matches
368,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Hertha BSC,25,1995,18.1,288,407,70.8,4619,601,167,222,75.2,86,130,66.2,29,35,82.9,1,1.3,-0.3,10,9,5,2,16,Matches
369,Amos Pieper\Amos-Pieper,de GER,DF,Arminia,22,1998,29.8,1252,1495,83.7,31163,8151,228,268,85.1,667,724,92.1,348,484,71.9,1,0.5,+0.5,7,62,17,0,78,Matches
370,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,35,1985,5.1,240,308,77.9,4506,1712,100,114,87.7,107,131,81.7,28,47,59.6,0,0.3,-0.3,3,21,4,2,18,Matches
371,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,28,1992,11.9,528,698,75.6,10094,4077,208,227,91.6,249,291,85.6,66,152,43.4,2,1.3,+0.7,11,35,11,7,50,Matches
372,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'Gladbach,27,1993,20.0,498,679,73.3,8558,2060,250,317,78.9,169,219,77.2,62,90,68.9,1,3.9,-2.9,27,47,37,7,69,Matches
373,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Union Berlin,25,1994,9.5,133,189,70.4,2208,539,71,91,78.0,46,68,67.6,13,20,65.0,0,1.4,-1.4,7,16,3,2,19,Matches
374,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,25,1994,0.1,2,2,100.0,37,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
375,Marin Pongračić\Marin-Pongracic,hr CRO,DF,Wolfsburg,22,1997,6.4,275,322,85.4,6585,1938,43,50,86.0,166,185,89.7,65,83,78.3,0,0.0,0.0,0,17,0,0,18,Matches
376,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,23,1997,23.5,1174,1464,80.2,24691,8794,367,416,88.2,618,680,90.9,181,320,56.6,0,0.8,-0.8,12,110,14,6,121,Matches
377,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,26,1994,15.0,323,453,71.3,4263,966,207,264,78.4,74,117,63.2,17,26,65.4,4,2.8,+1.2,14,17,13,1,31,Matches
378,Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,28,1991,28.0,796,995,80.0,16258,3547,278,341,81.5,363,425,85.4,145,198,73.2,1,1.4,-0.4,8,62,7,1,55,Matches
379,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,25,1995,20.2,578,744,77.7,10633,2078,231,286,80.8,261,313,83.4,67,97,69.1,1,0.8,+0.2,8,38,3,1,48,Matches
380,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,26,1993,16.4,226,340,66.5,3524,933,129,170,75.9,63,94,67.0,23,43,53.5,2,2.9,-0.9,13,22,6,0,23,Matches
381,Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FWDF,Hertha BSC,24,1996,6.8,159,249,63.9,2415,1101,92,124,74.2,53,79,67.1,10,24,41.7,2,0.9,+1.1,8,13,10,3,33,Matches
382,Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,25,1994,13.8,227,334,68.0,4206,1398,109,154,70.8,79,102,77.5,34,44,77.3,0,1.4,-1.4,16,16,14,4,36,Matches
383,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,24,1996,16.2,289,429,67.4,5170,1131,131,177,74.0,116,156,74.4,33,66,50.0,2,1.7,+0.3,18,14,20,12,24,Matches
384,Daishawn Redan\Daishawn-Redan,nl NED,FWMF,Hertha BSC,19,2001,1.1,19,29,65.5,312,87,7,11,63.6,11,15,73.3,0,0,,0,0.0,0.0,1,4,1,0,5,Matches
385,Reinier\Reinier,br BRA,MFFW,Dortmund,18,2002,2.9,100,113,88.5,1329,293,65,70,92.9,28,32,87.5,3,4,75.0,1,0.4,+0.6,4,4,3,1,5,Matches
386,Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,18,2002,0.7,35,43,81.4,552,174,18,21,85.7,13,15,86.7,3,6,50.0,0,0.1,-0.1,2,4,0,0,3,Matches
387,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,31,1989,25.3,914,1145,79.8,14881,3833,501,589,85.1,297,348,85.3,88,133,66.2,6,8.1,-2.1,50,60,43,6,101,Matches
388,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,22,1997,20.4,419,646,64.9,7778,2868,183,232,78.9,154,205,75.1,65,162,40.1,2,2.3,-0.3,26,44,14,4,50,Matches
389,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,17,2002,22.0,768,969,79.3,11985,2485,434,507,85.6,255,303,84.2,56,98,57.1,5,4.3,+0.7,34,46,31,2,58,Matches
390,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,20,2000,10.5,592,674,87.8,12598,3849,170,179,95.0,330,356,92.7,89,124,71.8,1,0.3,+0.7,4,34,3,0,36,Matches
391,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,20,2000,1.0,79,87,90.8,1492,461,36,39,92.3,33,35,94.3,10,10,100.0,1,0.3,+0.7,3,8,5,3,9,Matches
392,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,22,1997,15.7,285,477,59.7,5638,1775,111,155,71.6,111,155,71.6,51,122,41.8,1,1.6,-0.6,15,31,12,5,39,Matches
393,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,23,1996,2.0,111,123,90.2,1920,728,55,59,93.2,45,47,95.7,11,14,78.6,0,0.0,0.0,1,8,3,0,15,Matches
394,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,29,1990,18.1,883,1053,83.9,15803,4025,390,449,86.9,385,426,90.4,93,140,66.4,0,1.3,-1.3,20,79,19,3,87,Matches
395,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,27,1993,13.7,505,673,75.0,9538,3610,213,250,85.2,218,281,77.6,68,121,56.2,2,1.5,+0.5,16,28,11,5,45,Matches
396,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,30,1990,18.6,713,972,73.4,12797,4374,307,363,84.6,302,371,81.4,87,179,48.6,3,2.2,+0.8,29,69,24,8,89,Matches
397,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,30,1990,2.0,91,136,66.9,1561,840,45,59,76.3,31,41,75.6,12,22,54.5,0,0.1,-0.1,2,3,5,1,10,Matches
