Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
29,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,22,1998,29.8,6,34,12,35.3,1.14,0.40,0.18,0.50,18.3,0,0,0,3.3,3.3,0.10,+2.7,+2.7,Matches
30,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,22,1998,10.9,2,19,6,31.6,1.75,0.55,0.11,0.33,20.4,1,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
32,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,20,2000,25.6,2,32,10,31.3,1.25,0.39,0.06,0.20,16.0,0,0,0,3.3,3.3,0.10,-1.3,-1.3,Matches
33,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,25,1994,12.3,0,2,0,0.0,0.16,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
34,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30,1990,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.50,14.6,0,0,0,1.4,1.4,0.19,+0.6,+0.6,Matches
36,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,20,1999,26.3,6,62,21,33.9,2.36,0.80,0.10,0.29,15.3,1,0,0,5.5,5.5,0.09,+0.5,+0.5,Matches
37,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,23,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,9,46,19,41.3,1.88,0.78,0.20,0.47,12.3,0,0,0,9.1,9.1,0.20,-0.1,-0.1,Matches
39,Sheraldo Becker\Sheraldo-Becker,sr SUR,FWMF,Union Berlin,25,1995,12.3,3,31,10,32.3,2.52,0.81,0.10,0.30,22.0,0,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches
40,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,23,1997,18.2,0,5,1,20.0,0.27,0.05,0.00,0.00,20.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
41,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,28,1991,0.9,0,2,0,0.0,2.28,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
42,Maximilian Beier\Maximilian-Beier,de GER,FW,Hoffenheim,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,0,12,4,33.3,1.81,0.60,0.00,0.00,11.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
44,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,28,1991,14.1,1,7,2,28.6,0.50,0.14,0.14,0.50,13.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
45,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,30,1990,8.9,0,29,9,31.0,3.27,1.02,0.00,0.00,18.0,0,0,0,2.2,2.2,0.08,-2.2,-2.2,Matches
46,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,1,34,9,26.5,1.80,0.48,0.03,0.11,18.2,0,0,0,3.0,3.0,0.09,-2.0,-2.0,Matches
47,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,31,1989,10.4,1,9,0,0.0,0.87,0.00,0.00,,16.7,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
48,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,31,1989,13.0,0,3,1,33.3,0.23,0.08,0.00,0.00,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
49,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,22,1997,7.3,1,8,3,37.5,1.09,0.41,0.13,0.33,20.1,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
50,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,22,1997,1.7,0,2,0,0.0,1.20,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
51,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,4,21,7,33.3,1.04,0.35,0.14,0.43,14.6,0,1,1,2.3,1.6,0.07,+1.7,+1.4,Matches
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,0,0,0,,0.00,0.00,,,,0,0,1,0.8,0.0,,-0.8,0.0,Matches
53,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20,2000,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,18,2001,3.0,2,9,5,55.6,3.00,1.67,0.22,0.40,11.8,0,0,0,2.1,2.1,0.23,-0.1,-0.1,Matches
55,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,30,1990,1.4,1,2,1,50.0,1.41,0.70,0.50,1.00,4.7,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
56,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,26,1993,16.8,4,42,10,23.8,2.50,0.59,0.07,0.30,20.8,7,1,1,4.4,3.7,0.09,-0.4,-0.7,Matches
57,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,31,1988,26.3,1,8,3,37.5,0.30,0.11,0.13,0.33,18.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
58,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,26,1994,22.9,2,29,9,31.0,1.26,0.39,0.07,0.22,19.3,0,0,0,2.8,2.8,0.10,-0.8,-0.8,Matches
59,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18,2002,3.1,0,4,2,50.0,1.30,0.65,0.00,0.00,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
60,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Dennis Borkowski\Dennis-Borkowski,de GER,MF,RB Leipzig,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,21,1999,23.1,1,15,4,26.7,0.65,0.17,0.07,0.25,8.8,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
63,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21,1999,6.7,1,14,6,42.9,2.08,0.89,0.07,0.17,17.2,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
64,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,1,10,1,10.0,0.58,0.06,0.10,1.00,10.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
65,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,0,8,2,25.0,1.11,0.28,0.00,0.00,23.5,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
66,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24,1996,16.6,3,23,8,34.8,1.38,0.48,0.13,0.38,17.6,1,0,0,3.0,3.0,0.13,0.0,0.0,Matches
67,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,25,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,7,47,21,44.7,2.33,1.04,0.15,0.33,19.7,2,0,0,3.7,3.7,0.08,+3.3,+3.3,Matches
69,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,John Brooks\John-Brooks,us USA,DF,Wolfsburg,27,1993,30.8,2,18,4,22.2,0.58,0.13,0.11,0.50,9.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
71,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32,1988,15.9,2,7,1,14.3,0.44,0.06,0.00,0.00,27.6,3,2,2,1.8,0.3,0.05,+0.2,-0.3,Matches
72,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,26,1994,29.5,0,6,2,33.3,0.20,0.07,0.00,0.00,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,21,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,27,1993,10.9,1,19,7,36.8,1.75,0.64,0.05,0.14,17.0,0,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches
75,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20,2000,15.3,2,32,11,34.4,2.10,0.72,0.06,0.18,14.6,0,0,0,4.5,4.5,0.14,-2.5,-2.5,Matches
76,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,29,1990,18.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,0,1,1,100.0,0.30,0.30,0.00,0.00,14.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
79,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Augsburg,32,1988,29.6,6,38,13,34.2,1.28,0.44,0.11,0.31,21.6,9,2,3,4.8,2.6,0.07,+1.2,+1.4,Matches
80,Emre Can\Emre-Can,de GER,DFMF,Dortmund,26,1994,23.7,1,17,4,23.5,0.72,0.17,0.06,0.25,17.4,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
81,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,28,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,33,1987,19.2,4,31,11,35.5,1.61,0.57,0.13,0.36,18.2,2,0,0,3.3,3.3,0.11,+0.7,+0.7,Matches
83,Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,19,2001,10.0,0,1,0,0.0,0.10,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,1,6,2,33.3,1.25,0.42,0.17,0.50,15.0,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,0,3,0,0.0,1.25,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,0,9,1,11.1,2.10,0.23,0.00,0.00,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,0,3,0,0.0,1.25,0.00,0.00,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,5,52,19,36.5,2.67,0.98,0.10,0.26,16.9,0,0,0,4.1,4.1,0.08,+0.9,+0.9,Matches
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,7,50,19,38.0,2.93,1.11,0.14,0.37,12.6,0,0,0,7.4,7.4,0.15,-0.4,-0.4,Matches
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,2,20,4,20.0,1.65,0.33,0.10,0.50,15.4,0,0,0,3.1,3.1,0.16,-1.1,-1.1,Matches
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,28.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,0,3,0,0.0,2.45,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,1,4,2,50.0,1.13,0.56,0.25,0.50,20.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
95,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,19,2001,16.7,2,27,9,33.3,1.61,0.54,0.07,0.22,16.2,0,0,0,3.2,3.2,0.12,-1.2,-1.2,Matches
96,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,21,1999,23.9,7,66,30,45.5,2.76,1.26,0.08,0.17,22.0,8,2,3,8.1,5.8,0.09,-1.1,-0.8,Matches
98,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,30,1990,25.1,1,10,2,20.0,0.40,0.08,0.10,0.50,7.1,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
99,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,4,26,12,46.2,2.34,1.08,0.15,0.33,14.7,1,0,1,5.1,4.3,0.17,-1.1,-0.3,Matches
100,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,22,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,24,1996,14.0,1,16,5,31.3,1.14,0.36,0.06,0.20,25.9,1,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
102,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,19,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
103,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,18,2002,9.1,0,2,0,0.0,0.22,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
105,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,1,27,6,22.2,1.28,0.28,0.04,0.17,22.6,1,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
106,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,1,4,3,75.0,0.20,0.15,0.25,0.33,22.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
107,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,28,1991,14.3,1,8,3,37.5,0.56,0.21,0.13,0.33,13.1,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
108,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,27,1993,19.4,4,44,13,29.5,2.27,0.67,0.09,0.31,23.3,5,0,0,2.4,2.4,0.05,+1.6,+1.6,Matches
109,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,22,1998,16.6,5,40,19,47.5,2.40,1.14,0.13,0.26,13.7,0,0,0,4.7,4.7,0.12,+0.3,+0.3,Matches
110,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,22,1997,5.3,0,5,0,0.0,0.95,0.00,0.00,,12.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
111,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,27,1992,15.1,0,4,2,50.0,0.27,0.13,0.00,0.00,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
112,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,21,1999,26.5,4,51,25,49.0,1.92,0.94,0.08,0.16,18.5,0,0,0,5.6,5.6,0.11,-1.6,-1.6,Matches
113,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,30,1990,10.8,4,24,7,29.2,2.23,0.65,0.17,0.57,18.3,5,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches
114,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,22,1998,5.9,0,8,1,12.5,1.36,0.17,0.00,0.00,17.4,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
115,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,18,2001,1.2,1,3,2,66.7,2.50,1.67,0.33,0.50,11.3,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
116,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,22,1998,30.8,5,70,20,28.6,2.28,0.65,0.07,0.25,18.9,7,0,0,5.2,5.0,0.07,-0.2,0.0,Matches
117,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,29,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,4,14,7,50.0,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5,Matches
119,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,29,1991,12.6,1,3,2,66.7,0.24,0.16,0.33,0.50,16.1,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
120,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,30,1990,13.7,2,12,2,16.7,0.88,0.15,0.17,1.00,12.1,0,0,0,2.8,2.8,0.23,-0.8,-0.8,Matches
121,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,25,1994,28.2,7,47,13,27.7,1.67,0.46,0.09,0.31,21.7,4,3,4,5.8,2.8,0.06,+1.2,+1.2,Matches
122,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,1,20,6,30.0,1.22,0.36,0.05,0.17,19.5,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
123,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,22,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
124,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,2,22,5,22.7,0.67,0.15,0.09,0.40,23.3,0,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
125,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,17,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
126,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,25,1995,12.6,0,9,1,11.1,0.71,0.08,0.00,0.00,21.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
127,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,3,12,6,50.0,0.43,0.21,0.25,0.50,9.1,0,0,0,2.0,2.0,0.16,+1.0,+1.0,Matches
128,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,23,1997,16.0,5,41,19,46.3,2.56,1.19,0.12,0.26,13.0,0,0,0,7.0,7.0,0.18,-2.0,-2.0,Matches
129,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,22,1997,5.1,1,9,4,44.4,1.78,0.79,0.11,0.25,17.0,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
130,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,27,1993,32.8,3,27,14,51.9,0.82,0.43,0.11,0.21,18.5,0,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
131,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,25,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,31,1988,20.8,0,1,0,0.0,0.05,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
133,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,22,1997,29.0,1,13,3,23.1,0.45,0.10,0.08,0.33,11.2,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
134,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,24,1996,9.3,0,13,4,30.8,1.39,0.43,0.00,0.00,22.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
135,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,0,11,6,54.5,1.82,0.99,0.00,0.00,15.5,0,0,2,3.1,1.6,0.15,-3.1,-1.6,Matches
136,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,27,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,20,2000,4.0,1,1,1,100.0,0.25,0.25,1.00,1.00,11.2,0,0,0,0.5,0.5,0.48,+0.5,+0.5,Matches
138,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,28,1991,17.1,7,32,14,43.8,1.87,0.82,0.16,0.36,17.4,2,2,3,5.8,3.6,0.11,+1.2,+1.4,Matches
139,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,25,1995,16.8,3,20,11,55.0,1.19,0.66,0.15,0.27,15.5,0,0,1,4.2,3.3,0.16,-1.2,-0.3,Matches
140,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,0,3,1,33.3,0.66,0.22,0.00,0.00,18.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
141,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,24,1995,17.1,0,1,1,100.0,0.06,0.06,0.00,0.00,24.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
142,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,0,8,1,12.5,0.26,0.03,0.00,0.00,26.0,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
143,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,24,1995,34.0,5,24,6,25.0,0.71,0.18,0.21,0.83,11.7,0,0,0,1.3,1.3,0.06,+3.7,+3.7,Matches
144,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,19,2000,4.8,0,3,0,0.0,0.62,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
145,Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,27,1993,9.7,6,33,15,45.5,3.39,1.54,0.12,0.27,13.5,0,2,2,6.0,4.5,0.14,0.0,-0.5,Matches
146,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,25,1995,9.1,0,13,2,15.4,1.42,0.22,0.00,0.00,16.3,0,0,0,1.8,1.8,0.14,-1.8,-1.8,Matches
147,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,26,1993,7.6,1,10,4,40.0,1.31,0.52,0.10,0.25,15.0,0,0,0,2.0,2.0,0.20,-1.0,-1.0,Matches
148,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,3,20,8,40.0,0.59,0.24,0.15,0.38,16.0,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches
149,Emrehan Gedikli\Emrehan-Gedikli,de GER,FW,Leverkusen,17,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
150,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,22,1998,7.3,1,7,3,42.9,0.96,0.41,0.14,0.33,20.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
151,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,34,1985,11.5,0,7,0,0.0,0.61,0.00,0.00,,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
152,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,26,1994,21.5,2,31,11,35.5,1.44,0.51,0.06,0.18,14.7,0,0,0,3.9,3.9,0.13,-1.9,-1.9,Matches
153,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,FWMF,Stuttgart,29,1990,0.5,0,1,0,0.0,1.96,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
154,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Union Berlin,28,1991,4.8,0,4,0,0.0,0.84,0.00,0.00,,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
155,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,32,1987,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
156,Daniel Ginczek\Daniel-Ginczek,de GER,FWMF,Wolfsburg,29,1991,2.4,0,4,0,0.0,1.67,0.00,0.00,,11.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
157,Matthias Ginter\Matthias-Ginter,de GER,DF,M'Gladbach,26,1994,34.0,2,22,8,36.4,0.65,0.24,0.09,0.25,12.0,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
158,Robert Glatzel\Robert-Glatzel,de GER,FW,Mainz 05,26,1994,4.0,2,13,7,53.8,3.26,1.75,0.15,0.29,12.3,0,0,0,2.9,2.9,0.23,-0.9,-0.9,Matches
159,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,25,1995,18.3,10,59,27,45.8,3.23,1.48,0.17,0.37,16.0,0,0,0,8.0,8.0,0.13,+2.0,+2.0,Matches
