Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
456,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,21,1999,29.5,1,17,5,29.4,0.58,0.17,0.06,0.20,13.0,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
457,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,19,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
458,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,21,1999,3.0,0,4,0,0.0,1.33,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
459,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,23,1997,8.4,3,23,10,43.5,2.75,1.19,0.13,0.30,16.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3,Matches
460,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,18,2001,16.1,1,8,4,50.0,0.50,0.25,0.13,0.25,8.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
461,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,18,2002,11.4,2,11,4,36.4,0.96,0.35,0.18,0.50,17.8,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches
462,Erik Thommy\Erik-Thommy,de GER,DFFW,Stuttgart,25,1994,3.5,0,10,1,10.0,2.88,0.29,0.00,0.00,20.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
463,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,22,1997,19.2,8,59,20,33.9,3.07,1.04,0.14,0.40,13.0,0,0,0,7.8,7.8,0.13,+0.2,+0.2,Matches
464,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,22,1998,0.6,0,4,1,25.0,6.43,1.61,0.00,0.00,23.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
465,Guus Til\Guus-Til,nl NED,FW,Freiburg,22,1997,1.4,0,2,1,50.0,1.44,0.72,0.00,0.00,10.9,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
466,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,25,1994,8.7,1,12,7,58.3,1.38,0.81,0.08,0.14,13.4,0,0,0,2.3,2.3,0.19,-1.3,-1.3,Matches
467,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,31,1989,21.6,2,11,5,45.5,0.51,0.23,0.18,0.40,11.2,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
468,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,22,1997,10.8,0,4,1,25.0,0.37,0.09,0.00,0.00,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
469,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,24,1996,7.8,1,13,4,30.8,1.66,0.51,0.08,0.25,13.8,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
470,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,23,1997,23.2,1,30,6,20.0,1.29,0.26,0.03,0.17,20.1,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
471,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,32,1988,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,30,1990,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
473,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,33,1987,28.6,1,9,3,33.3,0.31,0.10,0.11,0.33,24.0,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
474,Tuta\Tuta,br BRA,DF,Eint Frankfurt,21,1999,16.2,0,4,0,0.0,0.25,0.00,0.00,,13.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
475,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,21,1998,25.9,1,12,6,50.0,0.46,0.23,0.08,0.17,13.2,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
476,Mark Uth\Mark-Uth,de GER,FWMF,Schalke 04,28,1991,16.6,3,35,10,28.6,2.11,0.60,0.09,0.30,19.4,4,0,0,2.8,2.8,0.08,+0.2,+0.2,Matches
477,Ruben Vargas\Ruben-Vargas,ch SUI,MFFW,Augsburg,21,1998,17.9,6,38,13,34.2,2.12,0.73,0.16,0.46,15.5,1,0,0,3.8,3.8,0.10,+2.2,+2.2,Matches
478,Miloš Veljković\Milos-Veljkovic,rs SRB,DF,Werder Bremen,24,1995,19.1,0,4,1,25.0,0.21,0.05,0.00,0.00,10.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
479,Michel Vlap\Michel-Vlap,nl NED,MFFW,Arminia,23,1997,4.1,1,3,2,66.7,0.73,0.49,0.33,0.50,29.3,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
480,Andreas Voglsammer\Andreas-Voglsammer,de GER,FWMF,Arminia,28,1992,11.1,2,33,12,36.4,2.97,1.08,0.06,0.17,15.4,3,0,0,3.5,3.5,0.11,-1.5,-1.5,Matches
481,Kevin Vogt\Kevin-Vogt,de GER,DF,Hoffenheim,28,1991,20.5,0,1,0,0.0,0.05,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
482,Silas Wamangituka\Silas-Wamangituka,cd COD,DFFW,Stuttgart,20,1999,21.3,11,40,15,37.5,1.88,0.70,0.20,0.53,15.9,0,3,3,7.3,5.1,0.13,+3.7,+2.9,Matches
483,Wout Weghorst\Wout-Weghorst,nl NED,FW,Wolfsburg,27,1992,32.7,20,92,43,46.7,2.82,1.32,0.20,0.42,12.8,0,2,3,17.9,15.8,0.17,+2.1,+2.2,Matches
484,Mitchell Weiser\Mitchell-Weiser,de GER,DF,Leverkusen,26,1994,2.5,1,2,2,100.0,0.80,0.80,0.50,0.50,15.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
485,Wendell\Wendell,br BRA,DF,Leverkusen,27,1993,16.2,0,7,2,28.6,0.43,0.12,0.00,0.00,19.2,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
486,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'Gladbach,34,1985,13.9,1,7,1,14.3,0.50,0.07,0.14,1.00,17.7,2,0,0,1.0,1.0,0.14,0.0,0.0,Matches
487,William\William,br BRA,FW,Wolfsburg,25,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
488,William\William,br BRA,DFFW,Schalke 04,25,1995,5.3,0,5,1,20.0,0.95,0.19,0.00,0.00,20.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
489,Marten Winkler\Marten-Winkler,de GER,FW,Hertha BSC,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
490,Florian Wirtz\Florian-Wirtz,de GER,MF,Leverkusen,17,2003,24.7,5,31,14,45.2,1.25,0.57,0.16,0.36,16.8,0,0,0,4.4,4.4,0.14,+0.6,+0.6,Matches
491,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,31,1989,12.6,0,12,2,16.7,0.96,0.16,0.00,0.00,19.8,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
492,Hannes Wolf\Hannes-Wolf,at AUT,MFFW,M'Gladbach,21,1999,15.3,3,16,7,43.8,1.04,0.46,0.19,0.43,14.6,0,0,0,2.0,2.0,0.12,+1.0,+1.0,Matches
493,Marius Wolf\Marius-Wolf,de GER,DFMF,Köln,25,1995,28.3,2,42,11,26.2,1.48,0.39,0.05,0.18,15.8,0,0,0,3.5,3.5,0.08,-1.5,-1.5,Matches
494,Nick Woltemade\Nick-Woltemade,de GER,MFFW,Werder Bremen,18,2002,1.6,0,5,3,60.0,3.06,1.84,0.00,0.00,18.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
495,Jeong Woo-yeong\Jeong-Woo-yeong,kr KOR,FWMF,Freiburg,20,1999,9.1,4,13,6,46.2,1.42,0.66,0.31,0.67,17.1,0,0,0,1.7,1.7,0.13,+2.3,+2.3,Matches
496,Joscha Wosz\Joscha-Wosz,de GER,DFFW,RB Leipzig,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,Reinhold Yabo\Reinhold-Yabo,de GER,MFFW,Arminia,28,1992,7.2,1,8,1,12.5,1.11,0.14,0.13,1.00,18.5,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
498,Amin Younes\Amin-Younes,de GER,MFFW,Eint Frankfurt,26,1993,15.5,3,33,13,39.4,2.14,0.84,0.09,0.23,18.0,0,0,0,3.4,3.4,0.10,-0.4,-0.4,Matches
499,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,21,1999,3.1,0,1,1,100.0,0.33,0.33,0.00,0.00,10.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
500,Denis Zakaria\Denis-Zakaria,ch SUI,MFDF,M'Gladbach,23,1996,15.8,1,11,2,18.2,0.70,0.13,0.09,0.50,19.2,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
501,Deyovaisio Zeefuik\Deyovaisio-Zeefuik,nl NED,DFMF,Hertha BSC,22,1998,10.1,1,2,2,100.0,0.20,0.20,0.50,0.50,15.6,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Matches
502,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,25,1994,31.0,0,2,0,0.0,0.06,0.00,0.00,,20.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
503,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,31,1989,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
504,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,19,2001,1.0,0,4,1,25.0,3.91,0.98,0.00,0.00,11.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
505,Steven Zuber\Steven-Zuber,ch SUI,DFMF,Eint Frankfurt,28,1991,6.5,0,10,2,20.0,1.54,0.31,0.00,0.00,18.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
