Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
306,Levent Mercan\Levent-Mercan,de GER,FW,Schalke 04,19,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
307,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,23,1997,14.4,21,14,15,4,2,3,10,30.0,7,119,43,36.1,71,34,14,17,12,0,5,23,44,83,0,Matches
308,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,28,1991,16.4,37,26,22,8,7,17,30,56.7,13,171,63,36.8,76,60,35,26,8,0,18,16,53,36,2,Matches
309,Max Meyer\Max-Meyer,de GER,MF,Köln,24,1995,3.9,6,5,2,4,0,4,11,36.4,7,58,22,37.9,13,32,13,6,0,0,6,3,9,3,0,Matches
310,Jonas Michel Dirkner\Jonas-Michel-Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,1,1,1,0,0,0,0,,0,7,5,71.4,4,3,0,0,0,0,0,0,1,0,0,Matches
311,Jonas Michelbrink\Jonas-Michelbrink,de GER,MF,Hertha BSC,19,2001,0.4,0,0,0,0,0,0,0,,0,16,8,50.0,9,3,4,1,0,0,1,0,0,0,0,Matches
312,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,23,1997,20.0,76,36,49,21,6,30,69,43.5,39,331,98,29.6,179,116,36,58,4,0,54,52,128,70,1,Matches
313,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,32,1988,2.5,1,0,0,1,0,0,2,0.0,2,32,9,28.1,0,17,15,0,0,0,0,0,1,2,0,Matches
314,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27,1993,17.3,18,15,13,4,1,2,20,10.0,18,234,63,26.9,98,112,24,19,3,0,16,41,59,25,2,Matches
315,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,34,1985,13.6,17,11,14,3,0,6,15,40.0,9,123,46,37.4,74,49,0,24,7,0,17,28,45,93,0,Matches
316,Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DFFW,Stuttgart,17,2002,0.4,1,1,1,0,0,0,0,,0,8,1,12.5,1,6,1,2,0,0,2,0,1,1,0,Matches
317,Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,30,1989,3.0,4,2,2,2,0,0,6,0.0,6,92,25,27.2,36,46,10,3,0,0,3,8,12,6,0,Matches
318,Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,20,2000,9.2,14,7,9,3,2,6,15,40.0,9,111,33,29.7,34,55,22,11,1,0,10,16,30,7,1,Matches
319,Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FWMF,Dortmund,15,2004,4.7,3,2,0,2,1,1,1,100.0,0,72,29,40.3,5,27,40,5,0,0,5,0,3,1,0,Matches
320,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,22,1997,18.6,47,20,16,24,7,21,45,46.7,24,278,78,28.1,73,135,70,40,2,0,38,28,75,47,1,Matches
321,Florian Müller\Florian-Muller,de GER,GK,Freiburg,22,1997,31.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,4,0,Matches
322,Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,30,1989,29.7,53,33,16,20,17,21,74,28.4,53,664,220,33.1,108,308,248,49,3,0,46,18,71,20,0,Matches
324,Petar Musa\Petar-Musa,hr CRO,FW,Union Berlin,22,1998,7.9,16,12,2,8,6,3,8,37.5,5,214,49,22.9,14,114,86,9,0,0,9,4,20,6,0,Matches
325,Jamal Musiala\Jamal-Musiala,de GER,FWMF,Bayern Munich,17,2003,9.8,26,15,2,12,12,4,19,21.1,15,221,83,37.6,39,100,82,24,2,0,22,22,48,3,0,Matches
326,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Schalke 04,28,1992,11.5,13,8,12,1,0,4,10,40.0,6,113,36,31.9,79,32,2,27,15,1,12,27,40,96,1,Matches
327,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,26,1994,18.6,51,34,26,20,5,19,45,42.2,26,328,122,37.2,147,121,60,37,4,0,33,24,75,55,1,Matches
328,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,20,1999,22.7,38,21,20,17,1,14,30,46.7,16,307,98,31.9,139,128,40,58,9,0,49,47,85,100,0,Matches
329,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,27,1993,13.6,11,6,9,2,0,2,11,18.2,9,96,30,31.3,69,26,1,35,22,0,13,15,26,63,0,Matches
330,Paul Nebel\Paul-Nebel,de GER,MF,Mainz 05,17,2002,0.6,1,0,0,1,0,0,0,,0,17,2,11.8,0,12,5,0,0,0,0,1,2,1,0,Matches
331,Luca Netz\Luca-Netz,de GER,DF,Hertha BSC,17,2003,3.4,12,7,11,1,0,7,20,35.0,13,62,15,24.2,36,15,11,8,0,0,8,2,14,9,0,Matches
332,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34,1986,33.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,1,1,0,0,Matches
333,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,23,1997,29.1,50,31,21,25,4,19,77,24.7,58,367,125,34.1,122,186,59,48,8,0,40,46,96,32,0,Matches
334,Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20,2000,3.3,6,4,2,2,2,1,5,20.0,4,90,20,22.2,9,50,31,9,1,0,8,1,7,0,0,Matches
335,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,24,1996,31.8,58,35,37,19,2,16,34,47.1,18,344,139,40.4,192,123,29,53,14,1,39,40,98,126,0,Matches
336,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,29,1990,19.3,11,8,3,6,2,2,17,11.8,15,237,69,29.1,21,109,107,17,2,0,15,6,17,20,0,Matches
337,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,26,1994,24.0,41,25,28,12,1,8,19,42.1,11,247,80,32.4,138,101,8,38,22,0,16,26,67,154,1,Matches
338,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,22,1997,21.0,24,17,6,7,11,4,20,20.0,16,415,126,30.4,48,164,203,32,1,0,31,11,35,14,0,Matches
339,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30,1990,7.8,6,2,5,1,0,4,8,50.0,4,34,16,47.1,22,11,1,13,3,0,10,5,11,50,1,Matches
340,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,23,1996,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Hoffenheim,25,1995,11.0,10,7,8,2,0,3,10,30.0,7,71,30,42.3,32,35,4,19,4,1,15,9,19,53,1,Matches
342,Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,31,1989,21.4,38,23,23,14,1,11,27,40.7,16,191,57,29.8,105,68,18,37,5,0,32,31,69,45,0,Matches
343,Masaya Okugawa\Masaya-Okugawa,jp JPN,MF,Arminia,24,1996,10.2,18,11,8,7,3,5,14,35.7,9,256,62,24.2,71,127,58,13,0,0,13,8,26,6,0,Matches
344,Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,22,1998,24.4,36,22,7,22,7,4,29,13.8,25,453,160,35.3,69,223,161,21,0,0,21,24,60,26,0,Matches
345,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,28,1992,20.5,34,20,8,13,13,7,20,35.0,13,430,106,24.7,39,207,184,25,2,0,23,10,44,11,0,Matches
346,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,27,1992,26.3,42,26,21,18,3,20,37,54.1,17,235,101,43.0,102,111,22,48,24,0,24,35,77,139,3,Matches
347,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,27,1992,34.0,1,1,1,0,0,1,5,20.0,4,4,1,25.0,4,0,0,1,0,0,1,0,1,1,1,Matches
348,Yuya Osako\Yuya-Osako,jp JPN,MFFW,Werder Bremen,30,1990,8.5,14,8,1,7,6,2,5,40.0,3,142,24,16.9,25,69,48,10,1,0,9,6,20,7,0,Matches
349,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,25,1994,19.3,78,40,45,28,5,26,58,44.8,32,325,103,31.7,152,125,48,60,7,0,53,41,119,69,1,Matches
350,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,21,1998,15.1,23,15,14,8,1,10,19,52.6,9,132,42,31.8,81,45,6,26,16,1,10,39,62,119,1,Matches
351,Salih Özcan\Salih-Ozcan,de GER,MF,Köln,22,1998,15.2,25,17,10,11,4,13,43,30.2,30,265,92,34.7,88,138,39,17,2,0,15,21,46,27,0,Matches
352,Levin Öztunalı\Levin-Oztunali,de GER,DFFW,Mainz 05,24,1996,8.4,28,16,14,10,4,9,16,56.3,7,112,30,26.8,51,38,23,18,1,0,17,15,43,24,0,Matches
353,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Schalke 04,25,1994,8.3,8,7,5,0,3,3,12,25.0,9,127,30,23.6,24,58,45,5,1,0,4,2,10,6,0,Matches
354,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,21,1998,6.4,29,17,14,13,2,8,24,33.3,16,163,51,31.3,48,96,19,19,0,0,19,15,44,11,0,Matches
355,Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,19,2001,0.0,0,0,0,0,0,0,0,,0,3,2,66.7,2,1,0,0,0,0,0,0,0,0,0,Matches
356,Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,22,1998,4.0,13,8,6,5,2,4,8,50.0,4,71,30,42.3,29,24,18,12,1,0,11,4,17,1,0,Matches
357,Paulinho\Paulinho,br BRA,FW,Leverkusen,20,2000,0.7,0,0,0,0,0,0,0,,0,15,6,40.0,0,4,11,0,0,0,0,0,0,0,0,Matches
358,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,24,1996,21.6,43,26,23,14,6,13,27,48.1,14,255,97,38.0,91,95,69,57,7,0,50,31,74,47,2,Matches
359,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,0,1,0,Matches
360,Vasileios Pavlidis\Vasileios-Pavlidis,gr GRE,FW,Schalke 04,17,2002,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,0,0,Matches
361,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,23,1996,9.9,29,16,24,5,0,11,29,37.9,18,182,62,34.1,109,53,20,25,1,1,24,19,48,28,0,Matches
362,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,33,1986,18.8,27,11,19,6,2,19,39,48.7,20,209,63,30.1,104,74,31,36,8,0,28,20,47,41,1,Matches
363,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35,1985,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,32,1987,2.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
365,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,31,1988,14.5,14,10,5,5,4,3,23,13.0,20,309,70,22.7,40,131,138,22,1,0,21,3,17,32,1,Matches
366,Lukas Petkov\Lukas-Petkov,de GER,MF,Augsburg,19,2000,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,0,0,0,Matches
367,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,26,1994,12.3,13,5,5,3,5,3,21,14.3,18,287,86,30.0,39,111,137,14,1,0,13,8,21,3,0,Matches
368,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Hertha BSC,25,1995,18.1,9,5,2,6,1,3,25,12.0,22,450,98,21.8,36,212,202,15,0,0,15,6,15,19,0,Matches
369,Amos Pieper\Amos-Pieper,de GER,DF,Arminia,22,1998,29.8,66,41,45,20,1,24,45,53.3,21,326,139,42.6,196,120,10,72,41,1,31,35,101,222,4,Matches
370,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,35,1985,5.1,11,10,4,6,1,3,12,25.0,9,77,33,42.9,34,30,13,6,1,0,5,9,20,16,0,Matches
371,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,28,1992,11.9,20,13,11,7,2,6,10,60.0,4,147,53,36.1,75,58,14,16,1,0,15,6,26,20,0,Matches
372,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'Gladbach,27,1993,20.0,17,9,4,10,3,6,25,24.0,19,288,74,25.7,33,128,127,9,1,0,8,7,24,8,0,Matches
373,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Union Berlin,25,1994,9.5,7,2,1,5,1,2,7,28.6,5,123,27,22.0,7,77,39,2,2,0,0,1,8,10,0,Matches
374,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,25,1994,0.1,1,0,1,0,0,0,0,,0,2,0,0.0,1,0,1,0,0,0,0,0,1,0,0,Matches
375,Marin Pongračić\Marin-Pongracic,hr CRO,DF,Wolfsburg,22,1997,6.4,14,9,11,2,1,4,5,80.0,1,67,25,37.3,34,28,5,16,6,0,10,22,36,39,2,Matches
376,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,23,1997,23.5,63,32,34,23,6,27,51,52.9,24,319,102,32.0,161,121,37,50,9,0,41,29,92,98,2,Matches
377,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,26,1994,15.0,7,2,1,3,3,1,14,7.1,13,335,90,26.9,17,155,163,16,0,0,16,7,14,13,0,Matches
378,Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,28,1991,28.0,76,48,34,36,6,15,83,18.1,68,616,197,32.0,251,318,47,56,8,0,48,38,114,35,0,Matches
379,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,25,1995,20.2,40,27,15,20,5,12,31,38.7,19,312,105,33.7,73,194,45,34,3,0,31,31,71,25,0,Matches
380,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,26,1993,16.4,16,9,4,8,4,3,15,20.0,12,311,79,25.4,46,159,106,14,0,0,14,9,25,6,0,Matches
381,Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FWDF,Hertha BSC,24,1996,6.8,6,5,3,2,1,3,6,50.0,3,116,25,21.6,33,45,38,1,0,0,1,4,10,1,0,Matches
382,Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,25,1994,13.8,19,12,12,4,3,2,23,8.7,21,304,85,28.0,66,112,126,15,0,0,15,9,28,5,0,Matches
383,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,24,1996,16.2,16,10,7,7,2,4,25,16.0,21,244,56,23.0,61,102,81,16,0,0,16,9,25,3,0,Matches
384,Daishawn Redan\Daishawn-Redan,nl NED,FWMF,Hertha BSC,19,2001,1.1,0,0,0,0,0,0,0,,0,15,5,33.3,3,6,6,1,0,0,1,2,2,0,0,Matches
385,Reinier\Reinier,br BRA,MFFW,Dortmund,18,2002,2.9,9,8,3,4,2,0,4,0.0,4,67,16,23.9,23,25,19,5,1,0,4,3,12,0,0,Matches
386,Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,18,2002,0.7,2,1,1,1,0,2,3,66.7,1,22,6,27.3,12,9,1,3,1,0,2,1,3,1,0,Matches
387,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,31,1989,25.3,40,29,13,16,11,8,30,26.7,22,475,159,33.5,93,221,161,32,2,0,30,10,50,15,0,Matches
388,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,22,1997,20.4,52,30,17,29,6,12,42,28.6,30,430,138,32.1,110,209,111,51,8,0,43,22,74,18,0,Matches
389,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,17,2002,22.0,30,23,9,13,8,9,31,29.0,22,361,115,31.9,67,171,123,29,1,0,28,15,45,11,0,Matches
390,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,20,2000,10.5,24,13,15,8,1,7,13,53.8,6,134,56,41.8,67,56,11,19,5,0,14,13,37,72,1,Matches
391,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,20,2000,1.0,1,1,1,0,0,0,0,,0,10,2,20.0,5,5,0,0,0,0,0,0,1,3,0,Matches
392,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,22,1997,15.7,19,9,2,9,8,5,14,35.7,9,255,55,21.6,51,127,77,13,0,0,13,9,28,10,0,Matches
393,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,23,1996,2.0,5,4,2,2,1,3,7,42.9,4,35,13,37.1,9,15,11,4,1,0,3,1,6,3,0,Matches
394,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,29,1990,18.1,52,30,23,19,10,15,52,28.8,37,434,113,26.0,157,215,62,41,3,0,38,43,95,21,0,Matches
395,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,27,1993,13.7,24,14,15,8,1,11,22,50.0,11,191,70,36.6,86,79,26,23,1,0,22,13,37,36,0,Matches
396,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,30,1990,18.6,52,30,23,20,9,18,45,40.0,27,364,122,33.5,97,176,91,40,4,0,36,8,60,16,1,Matches
397,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,30,1990,2.0,4,1,3,0,1,2,7,28.6,5,31,9,29.0,14,11,6,11,4,1,7,0,4,6,0,Matches
398,Georginio Rutter\Georginio-Rutter,fr FRA,FW,Hoffenheim,18,2002,2.7,5,2,4,1,0,0,2,0.0,2,59,15,25.4,9,26,24,1,0,0,1,1,6,3,0,Matches
399,Julian Ryerson\Julian-Ryerson,no NOR,DFMF,Union Berlin,22,1997,11.9,22,10,8,11,3,10,17,58.8,7,184,57,31.0,59,94,31,26,2,0,24,13,35,22,1,Matches
400,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,27,1992,10.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
401,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,26,1994,5.2,17,8,4,9,4,5,10,50.0,5,130,41,31.5,28,52,50,15,0,0,15,7,24,2,0,Matches
402,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,26,1994,22.5,38,27,17,19,2,9,32,28.1,23,303,102,33.7,80,160,63,18,3,0,15,36,74,28,0,Matches
403,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,23,1997,18.5,21,13,8,11,2,4,12,33.3,8,307,68,22.1,49,166,92,18,2,0,16,10,31,11,0,Matches
404,Lazar Samardzic\Lazar-Samardzic,de GER,MFFW,RB Leipzig,18,2002,2.2,8,6,3,4,1,3,12,25.0,9,88,24,27.3,29,43,16,6,0,0,6,5,13,1,0,Matches
405,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,24,1996,28.5,75,45,26,43,6,26,81,32.1,55,463,153,33.0,144,259,60,52,12,0,40,68,143,76,0,Matches
406,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,20,2000,22.9,16,11,4,7,5,8,19,42.1,11,255,93,36.5,39,104,112,38,1,0,37,14,30,8,0,Matches
407,Leroy Sané\Leroy-Sane,de GER,FWMF,Bayern Munich,24,1996,20.1,31,21,7,9,15,7,27,25.9,20,392,140,35.7,77,163,152,32,0,0,32,12,43,5,0,Matches
408,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,29,1990,11.9,16,7,11,4,1,6,16,37.5,10,101,36,35.6,62,34,5,39,16,0,23,18,34,84,0,Matches
409,Mohamed Sankoh\Mohamed-Sankoh,nl NED,FW,Stuttgart,16,2003,0.2,0,0,0,0,0,0,0,,0,9,0,0.0,2,4,3,0,0,0,0,1,1,0,0,Matches
410,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Freiburg,25,1995,24.5,64,42,25,30,9,14,59,23.7,45,513,143,27.9,152,280,81,52,8,0,44,49,113,37,0,Matches
411,Josh Sargent\Josh-Sargent,us USA,FWMF,Werder Bremen,20,2000,27.8,36,28,13,16,7,8,34,23.5,26,549,158,28.8,97,264,188,51,6,0,45,20,56,35,0,Matches
412,Bouna Sarr\Bouna-Sarr,gn GUI,DF,Bayern Munich,28,1992,5.0,14,9,6,5,3,2,4,50.0,2,70,19,27.1,22,37,11,3,0,0,3,4,18,14,1,Matches
413,Patrik Schick\Patrik-Schick,cz CZE,FW,Leverkusen,24,1996,20.7,14,8,1,7,6,1,7,14.3,6,229,60,26.2,5,88,136,10,6,0,4,2,16,17,0,Matches
414,Sven Schipplock\Sven-Schipplock,de GER,FWMF,Arminia,31,1988,8.3,12,8,2,6,4,2,29,6.9,27,333,78,23.4,45,176,112,13,3,0,10,3,15,13,0,Matches
415,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,22,1997,29.2,90,61,28,52,10,23,71,32.4,48,604,214,35.4,162,324,118,53,8,0,45,47,137,53,0,Matches
416,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Freiburg,23,1997,18.4,25,12,11,14,0,6,25,24.0,19,178,55,30.9,100,69,9,33,20,0,13,29,54,111,1,Matches
417,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Union Berlin,20,1999,14.3,34,20,15,16,3,11,21,52.4,10,180,63,35.0,84,86,10,20,5,0,15,37,71,65,1,Matches
418,Jonathan Schmid\Jonathan-Schmid,fr FRA,DFMF,Freiburg,30,1990,26.6,37,27,15,15,7,9,28,32.1,19,309,94,30.4,108,134,67,55,13,0,42,22,59,50,0,Matches
419,Romano Schmid\Romano-Schmid,at AUT,FWMF,Werder Bremen,20,2000,13.1,27,20,11,8,8,9,34,26.5,25,345,76,22.0,87,168,90,26,1,0,25,16,43,4,0,Matches
420,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,25,1994,4.6,13,6,7,6,0,5,11,45.5,6,86,30,34.9,34,27,25,6,4,0,2,8,21,17,0,Matches
421,Alessandro Schöpf\Alessandro-Schopf,at AUT,FWMF,Schalke 04,26,1994,10.5,15,12,6,9,0,5,15,33.3,10,212,63,29.7,67,98,47,21,1,0,20,7,22,5,0,Matches
422,Nico Schulz\Nico-Schulz,de GER,DF,Dortmund,27,1993,6.8,10,9,4,3,3,0,12,0.0,12,90,33,36.7,28,37,25,11,4,0,7,14,24,20,0,Matches
423,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,28,1992,26.0,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,3,1,Matches
424,Christopher Scott\Christopher-Scott,de GER,FWMF,Bayern Munich,18,2002,0.4,2,1,0,1,1,0,0,,0,4,2,50.0,1,2,1,1,0,0,1,0,2,0,0,Matches
425,Davie Selke\Davie-Selke,de GER,FW,Werder Bremen,25,1995,9.0,3,2,1,0,2,1,5,20.0,4,180,48,26.7,14,81,85,5,1,0,4,2,5,6,0,Matches
426,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,23,1997,21.7,58,36,15,36,7,15,43,34.9,28,354,112,31.6,104,200,50,39,6,0,33,23,81,26,1,Matches
427,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Hoffenheim,20,2000,17.5,47,25,28,10,9,14,39,35.9,25,316,97,30.7,125,128,63,45,3,0,42,20,67,47,0,Matches
428,Nils Seufert\Nils-Seufert,de GER,MFFW,Arminia,23,1997,3.8,11,8,0,7,4,2,10,20.0,8,87,20,23.0,14,47,26,4,1,0,3,2,13,6,0,Matches
429,Tim Siersleben\Tim-Siersleben,de GER,DF,Wolfsburg,20,2000,0.4,2,0,2,0,0,1,2,50.0,1,4,0,0.0,3,1,0,1,0,0,1,1,3,4,0,Matches
430,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,24,1995,30.7,11,4,0,5,6,3,8,37.5,5,343,102,29.7,16,106,221,12,1,0,11,4,15,14,0,Matches
431,Jóan Símun Edmundsson\Joan-Simun-Edmundsson,fo FRO,MFFW,Arminia,29,1991,0.6,2,1,1,1,0,1,1,100.0,0,11,3,27.3,2,8,1,0,0,0,0,0,2,1,0,Matches
432,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,Leverkusen,25,1995,17.4,33,23,14,15,4,16,38,42.1,22,218,81,37.2,82,93,43,48,7,0,41,21,54,29,0,Matches
433,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,32,1988,3.8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,25,1995,30.9,88,51,46,35,7,31,66,47.0,35,537,168,31.3,233,240,64,77,16,1,61,84,172,50,2,Matches
435,Robert Skov\Robert-Skov,dk DEN,FWDF,Hoffenheim,24,1996,12.9,23,15,11,8,4,9,20,45.0,11,187,76,40.6,50,67,70,16,3,1,13,12,35,12,0,Matches
436,Steven Skrzybski\Steven-Skrzybski,de GER,FWDF,Schalke 04,27,1992,4.7,7,6,2,5,0,2,11,18.2,9,113,25,22.1,29,62,22,10,1,0,9,5,12,1,0,Matches
437,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,31,1988,30.1,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,3,2,Matches
438,Borna Sosa\Borna-Sosa,hr CRO,DF,Stuttgart,22,1998,22.7,22,13,11,8,3,9,22,40.9,13,172,59,34.3,82,57,33,46,6,0,40,23,45,77,0,Matches
439,Cebio Soukou\Cebio-Soukou,bj BEN,FWMF,Arminia,27,1992,5.1,10,6,4,4,2,4,9,44.4,5,100,25,25.0,25,41,34,3,0,0,3,1,11,5,0,Matches
440,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,23,1997,24.2,67,45,28,36,3,18,53,34.0,35,536,174,32.5,167,289,80,47,10,2,37,55,122,32,0,Matches
441,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,23,1996,32.0,72,45,45,21,6,16,39,41.0,23,396,131,33.1,222,145,29,70,26,1,44,61,133,146,0,Matches
442,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MFDF,Schalke 04,29,1990,21.7,60,45,32,22,6,23,47,48.9,24,277,101,36.5,129,125,23,49,14,0,35,61,121,68,2,Matches
443,Josip Stanišić\Josip-Stanisic,de GER,DF,Bayern Munich,20,2000,1.0,2,1,2,0,0,0,1,0.0,1,15,6,40.0,8,4,3,2,0,0,2,1,3,4,0,Matches
444,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,25,1995,31.0,66,36,34,29,3,11,35,31.4,24,430,135,31.4,210,186,34,58,18,0,40,40,106,146,0,Matches
