Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,15,6,2,6,7,1,22,4.5,21,388,99,25.5,17,154,217,19,3,0,16,7,22,17,0,Matches
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,52,29,24,17,11,20,63,31.7,43,523,157,30.0,89,259,175,31,2,0,29,26,78,23,0,Matches
227,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,1,1,0,0,1,0,0,,0,9,3,33.3,5,4,0,4,1,0,3,1,2,14,0,Matches
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,50,42,17,27,6,12,32,37.5,20,391,153,39.1,105,226,60,30,3,0,27,30,80,22,0,Matches
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,3,1,0,0,0,0,0,0,0,0,0,Matches
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,23,14,14,9,0,10,19,52.6,9,177,67,37.9,90,69,18,22,6,0,16,18,41,62,1,Matches
231,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,27,1993,3.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
232,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,22,15,14,6,2,5,22,22.7,17,144,46,31.9,73,57,14,15,2,1,13,11,33,29,0,Matches
233,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,13,8,6,6,1,4,7,57.1,3,89,30,33.7,35,40,14,9,2,0,7,10,23,11,0,Matches
234,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,63,42,46,13,4,25,51,49.0,26,285,102,35.8,165,104,16,65,31,0,34,52,115,132,1,Matches
235,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,36,20,16,18,2,9,24,37.5,15,336,98,29.2,106,184,46,26,6,0,20,23,59,57,0,Matches
236,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,10,8,3,5,2,5,11,45.5,6,66,22,33.3,22,30,14,5,1,0,4,10,20,9,1,Matches
237,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,14,4,10,3,1,2,10,20.0,8,38,17,44.7,22,15,1,6,2,0,4,1,15,15,1,Matches
238,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,45,34,16,23,6,16,62,25.8,46,429,137,31.9,126,223,80,34,5,0,29,41,86,26,0,Matches
239,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,3,2,1,1,1,0,2,0.0,2,59,20,33.9,9,35,15,9,1,0,8,2,5,0,0,Matches
240,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,9,8,3,5,1,3,5,60.0,2,35,16,45.7,12,14,9,5,0,0,5,0,9,6,0,Matches
241,Klauss\Klauss,br BRA,FW,Hoffenheim,23,1997,0.6,0,0,0,0,0,0,1,0.0,1,11,4,36.4,0,3,8,0,0,0,0,0,0,0,0,Matches
242,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,9,5,6,1,2,3,12,25.0,9,106,27,25.5,44,38,24,8,2,0,6,5,14,11,0,Matches
243,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,24,14,6,11,7,4,18,22.2,14,232,69,29.7,39,85,108,11,1,0,10,3,27,4,0,Matches
244,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,26,14,9,11,6,7,34,20.6,27,508,141,27.8,54,259,195,20,6,1,14,10,36,28,0,Matches
245,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,26,13,14,9,3,8,19,42.1,11,178,73,41.0,76,76,26,33,8,0,25,19,45,53,0,Matches
246,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,5,3,1,3,1,1,6,16.7,5,126,35,27.8,21,54,51,11,0,0,11,3,8,5,0,Matches
247,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,12,7,8,4,0,4,8,50.0,4,107,36,33.6,58,40,9,13,1,0,12,13,25,47,0,Matches
248,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,1,0,0,1,0,0,1,0.0,1,21,3,14.3,6,13,2,2,1,0,1,1,2,2,0,Matches
249,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,50,34,33,16,1,18,40,45.0,22,346,133,38.4,216,112,18,59,29,1,30,44,94,192,2,Matches
250,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,22,1997,33.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,1,Matches
251,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,48,29,18,22,8,11,36,30.6,25,299,100,33.4,84,161,54,24,5,0,19,29,77,39,0,Matches
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,17,11,2,10,5,3,6,50.0,3,74,28,37.8,15,44,15,7,1,0,6,5,22,9,0,Matches
253,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,24,14,12,10,2,13,26,50.0,13,183,52,28.4,76,80,27,19,4,0,15,36,60,21,0,Matches
254,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,10,5,6,4,0,2,7,28.6,5,56,15,26.8,25,29,2,10,4,0,6,10,20,41,0,Matches
255,Filip Kostić\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,60,34,30,19,11,23,59,39.0,36,434,140,32.3,143,170,121,67,6,0,61,31,91,33,1,Matches
256,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,2,1,2,0,0,1,1,100.0,0,9,3,33.3,5,4,0,0,0,0,0,1,3,8,0,Matches
257,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,8,5,4,2,2,4,11,36.4,7,190,70,36.8,25,69,96,17,3,0,14,12,20,7,1,Matches
258,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,61,39,26,28,7,20,62,32.3,42,385,132,34.3,133,210,42,43,10,0,33,36,97,55,0,Matches
259,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,9,4,4,4,1,2,13,15.4,11,190,62,32.6,19,103,68,17,0,0,17,6,15,7,0,Matches
260,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,20,13,15,3,2,8,18,44.4,10,149,38,25.5,86,51,12,16,3,0,13,17,37,34,0,Matches
261,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,12,6,3,8,1,1,8,12.5,7,77,21,27.3,21,44,12,6,1,0,5,7,19,12,0,Matches
262,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,44,27,21,20,3,14,43,32.6,29,307,73,23.8,111,164,32,34,3,0,31,15,59,31,0,Matches
263,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,1,0,0,0,1,1,1,100.0,0,29,7,24.1,4,11,14,1,0,0,1,0,1,0,0,Matches
