Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
408,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,22,1997,8.1,0,0,0,2,8,1,0,13,9,0,0,0,73,24,11,68.6,Matches
409,Rodri\Rodri,es ESP,MF,Manchester City,24,1996,30.5,6,0,0,44,30,3,12,40,60,0,0,0,417,91,28,76.5,Matches
410,Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,29,1991,14.3,3,0,0,20,9,3,20,9,13,0,1,0,101,25,34,42.4,Matches
411,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,29,1991,19.6,4,0,0,17,40,6,35,16,14,1,0,0,141,5,15,25.0,Matches
412,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,31,1989,14.1,3,0,0,31,18,15,4,4,14,0,0,0,69,46,85,35.1,Matches
413,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,28,1991,19.6,6,0,0,30,23,0,5,27,35,0,0,0,279,35,28,55.6,Matches
414,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,33,1986,1.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
415,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,27,1993,19.0,0,0,0,16,11,1,1,15,18,0,0,1,162,50,16,75.8,Matches
416,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28,1992,11.0,1,0,0,1,0,0,0,0,0,0,1,0,42,0,0,,Matches
417,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0.0,Matches
418,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,23,1997,17.3,0,0,0,11,45,5,21,9,11,0,1,0,100,5,13,27.8,Matches
419,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30,1990,26.7,2,0,0,29,11,1,17,38,18,0,2,0,220,89,53,62.7,Matches
420,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,18,2001,28.4,1,0,0,28,64,15,82,27,19,1,0,1,176,15,43,25.9,Matches
421,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,30,1990,3.1,0,0,0,2,1,0,0,0,2,0,1,0,17,5,8,38.5,Matches
422,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28,1992,34.2,0,0,0,22,22,13,47,9,13,2,0,0,191,21,52,28.8,Matches
423,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,21,1999,9.4,1,0,0,10,4,0,2,26,19,0,0,0,75,26,18,59.1,Matches
424,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,24,1996,16.5,1,0,0,22,9,0,0,14,25,0,3,1,153,50,30,62.5,Matches
425,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,22,1997,27.0,2,0,0,2,4,0,0,0,0,0,1,0,134,1,1,50.0,Matches
426,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,25,1994,3.3,3,0,0,6,7,2,8,7,5,0,0,0,31,5,4,55.6,Matches
427,Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,28,1991,16.5,2,0,0,18,14,0,5,22,19,0,0,1,176,13,6,68.4,Matches
428,Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
429,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,28,1991,13.8,4,1,0,22,15,1,3,22,9,0,0,0,123,20,25,44.4,Matches
430,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,27,1992,15.9,3,0,0,25,17,0,27,21,20,0,0,0,116,32,43,42.7,Matches
431,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,33,1986,38.0,0,0,0,0,4,0,0,0,0,0,0,1,161,0,0,,Matches
432,Nélson Semedo\Nelson-Semedo,pt POR,DF,Wolves,26,1993,33.1,5,0,0,42,34,2,48,44,53,0,1,1,264,43,42,50.6,Matches
433,Femi Seriki\Femi-Seriki,eng ENG,DF,Sheffield Utd,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
434,Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,20,1999,5.1,0,0,0,3,2,1,2,6,5,0,0,0,36,4,6,40.0,Matches
435,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,28,1991,6.2,2,0,0,11,6,0,11,4,4,0,0,0,61,3,7,30.0,Matches
