Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,180,10,11,47.6,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,22,12,5,4,2,4,1,0,0,47,39,28,58.2,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24,1996,29.6,1,0,0,29,55,19,13,11,17,0,0,0,119,47,141,25.0,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,16,6,2,3,55,26,0,1,1,278,100,39,71.9,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32,1988,6.2,0,0,0,2,7,1,2,4,0,0,0,0,18,2,6,25.0,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,31,26,2,42,52,25,0,0,0,251,33,43,43.4,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,16,19,1,30,15,16,0,1,0,118,14,21,40.0,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,28,4,1,6,41,42,0,2,0,264,85,46,64.9,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,5,0,0,6,6,0,1,0,80,30,17,63.8,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,9,20,4,73,28,31,0,0,0,188,15,32,31.9,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,49,25,0,4,42,43,0,1,0,236,34,23,59.6,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,17,3,0,1,15,18,0,1,1,201,54,39,58.1,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,21,9,5,182,49,36,0,1,0,336,8,28,22.2,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,28,1992,27.3,7,0,0,39,42,6,59,36,42,0,2,0,248,43,43,50.0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33.0,1,0,0,1,5,0,0,0,0,0,1,0,170,0,1,0.0,Matches
18,Allan\Allan,br BRA,MF,Everton,29,1991,22.8,6,0,0,37,30,0,3,23,54,0,0,0,221,6,13,31.6,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,10,12,1,7,10,15,0,0,0,66,10,13,43.5,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26,1994,27.0,3,0,0,18,39,6,29,27,29,0,0,0,189,8,20,28.6,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,13,12,2,13,11,8,0,0,0,86,27,19,58.7,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,21,1998,10.0,2,0,0,20,7,1,2,7,15,0,0,0,68,6,14,30.0,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25,1994,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,39,15,1,4,51,26,0,1,0,335,118,40,74.7,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30,1990,21.9,3,0,0,28,40,16,30,9,8,1,0,0,81,63,116,35.2,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36.0,2,0,0,0,5,0,0,0,1,0,0,0,150,0,0,,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28,1992,30.7,3,0,0,35,35,4,26,30,41,0,0,0,270,8,23,25.8,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,1,0,0,1,0,0,0,0,0,0,0,0,34,0,0,,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,2,0,0,13,18,18,47,6,5,0,0,1,84,31,64,32.6,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27,1992,17.8,0,0,0,23,15,1,21,24,38,0,1,0,156,39,37,51.3,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35.0,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,4,0,0,45,63,5,18,29,33,0,0,0,132,31,110,22.0,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,28,1991,37.8,7,0,0,29,53,2,70,58,67,0,1,0,404,70,66,51.5,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,5,1,0,32,14,5,29,37,31,0,0,0,243,58,48,54.7,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0,0,11,4,0,0,22,6,0,0,0,98,27,17,61.4,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,1,0,12,3,0,0,14,14,0,0,0,114,26,17,60.5,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27,1993,31.0,7,0,0,46,22,10,51,35,27,0,0,0,210,29,35,45.3,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31,1989,10.2,1,0,0,9,10,5,29,9,9,0,0,0,70,22,11,66.7,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,33.9,3,0,0,36,23,18,5,13,18,3,0,0,93,54,81,40.0,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35,1985,3.0,2,0,0,8,4,0,7,3,4,0,0,0,39,5,5,50.0,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,0,0,0,12,17,5,20,5,2,1,0,0,144,25,25,50.0,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,26,1993,0.5,0,0,0,2,2,1,0,0,0,0,0,0,8,3,1,75.0,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,30,1989,14.8,4,0,0,45,49,17,6,5,6,1,0,0,75,55,98,35.9,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,0,0,0,16,33,1,18,16,14,0,0,0,134,22,32,40.7,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29,1991,28.7,4,0,0,29,8,5,4,31,18,0,1,0,260,111,55,66.9,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,5,0,0,25,28,6,24,45,46,1,1,0,295,77,63,55.0,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,0,0,0,11,5,11,7,2,3,1,0,0,34,11,23,32.4,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24,1996,34.4,5,1,0,30,13,0,0,78,28,0,0,1,410,110,51,68.3,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,1,0,0,5,6,0,4,7,9,1,0,0,44,3,4,42.9,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25,1995,23.2,8,0,0,21,7,1,51,13,18,1,0,0,208,32,35,47.8,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,0,0,0,14,15,2,39,13,21,0,1,0,124,3,15,16.7,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,20,1999,2.9,0,0,0,4,1,0,4,1,5,0,1,0,24,1,4,20.0,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,3,1,1,35,20,15,6,5,9,0,0,0,78,211,151,58.3,Matches
57,Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,0,0,1,0,0,1,2,2,0,0,0,6,3,4,42.9,Matches
58,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,29,1990,15.1,2,0,0,11,16,2,24,17,14,0,0,0,108,19,31,38.0,Matches
59,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,4,0,0,14,4,2,18,3,16,0,0,0,101,16,15,51.6,Matches
60,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,3,0,0,20,16,1,12,12,10,1,0,0,80,2,16,11.1,Matches
61,Bernard\Bernard,br BRA,MFFW,Everton,27,1992,5.1,2,0,0,6,7,0,9,7,4,0,0,0,59,0,0,,Matches
62,Bernardo\Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,0,0,0,1,1,0,4,0,5,0,0,0,12,5,6,45.5,Matches
63,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,30,1989,28.9,5,0,0,29,35,3,57,31,43,0,1,0,210,34,54,38.6,Matches
64,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,23,1996,34.6,8,1,0,54,32,0,8,60,74,0,0,0,364,38,22,63.3,Matches
65,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,2,0,0,15,9,1,12,20,16,0,0,0,84,16,28,36.4,Matches
66,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29,1991,20.9,2,0,0,15,8,0,0,23,26,0,1,0,180,65,22,74.7,Matches
67,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,0,0,0,15,54,14,52,22,14,0,0,0,175,20,60,25.0,Matches
68,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28,1992,11.7,3,0,0,21,9,2,25,9,12,0,0,0,110,21,20,51.2,Matches
69,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20,2000,12.5,1,0,0,18,13,4,13,6,8,0,0,0,61,12,45,21.1,Matches
70,Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,22,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
71,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,24,1995,31.3,2,0,0,37,32,2,17,53,28,0,0,0,398,71,43,62.3,Matches
72,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,26,1993,7.4,2,0,0,10,7,0,24,13,12,1,1,0,66,6,3,66.7,Matches
73,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,0,0,13,2,0,15,28,15,0,0,1,92,31,19,62.0,Matches
74,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23,1997,14.1,2,0,0,23,6,3,20,2,10,0,0,0,54,27,49,35.5,Matches
75,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28,1992,22.9,5,0,0,35,6,4,32,37,22,0,1,1,195,99,41,70.7,Matches
76,Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
77,David Button\David-Button,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
78,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
79,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
80,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,3,0,0,12,3,3,0,19,7,0,0,0,147,80,39,67.2,Matches
81,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,29,1991,8.4,2,0,0,4,18,1,18,1,4,1,0,0,71,2,5,28.6,Matches
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,3,0,0,37,40,19,15,5,12,2,0,0,115,143,147,49.3,Matches
83,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26,1994,25.5,5,1,0,36,19,2,69,53,44,0,0,0,259,35,30,53.8,Matches
84,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20,2000,3.9,0,0,0,5,6,2,9,2,7,0,0,0,26,0,4,0.0,Matches
85,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,0,0,12,10,4,3,1,1,0,0,0,37,47,35,57.3,Matches
86,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
87,Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,17,2002,2.8,0,0,0,4,2,0,2,4,5,0,0,0,16,1,5,16.7,Matches
88,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,22,1997,26.4,8,1,1,35,22,2,62,49,44,0,2,0,228,40,42,48.8,Matches
89,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches
90,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,24,1995,26.1,1,0,0,20,13,2,37,23,34,0,0,0,220,40,42,48.8,Matches
91,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,26,1994,5.5,0,0,0,7,11,0,6,7,6,0,0,0,37,8,4,66.7,Matches
92,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,26,1993,27.5,2,0,0,30,28,9,70,18,21,0,0,0,173,46,89,34.1,Matches
93,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,4,0,0,21,13,6,5,10,11,0,0,0,73,9,19,32.1,Matches
94,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,23,1996,17.9,4,0,0,22,24,0,13,24,33,0,0,0,196,7,12,36.8,Matches
95,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,0,0,8,2,0,27,14,3,0,0,0,94,23,17,57.5,Matches
96,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,0,0,23,42,8,93,29,29,0,0,0,198,44,36,55.0,Matches
97,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,1,0,0,6,2,0,0,5,7,0,0,0,54,2,3,40.0,Matches
98,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24,1996,15.2,2,1,0,9,7,0,1,26,12,0,0,0,132,45,22,67.2,Matches
99,Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,16,2004,0.2,0,0,0,2,0,0,0,0,2,0,0,0,0,1,4,20.0,Matches
100,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,3,0,0,16,11,1,0,26,14,0,1,1,168,79,35,69.3,Matches
101,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,2,0,0,4,2,0,13,13,9,0,0,0,99,7,15,31.8,Matches
102,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27,1993,36.7,5,0,0,22,10,0,1,25,23,0,1,0,270,40,29,58.0,Matches
103,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,31,1988,17.9,0,0,0,12,17,0,32,22,26,0,0,0,153,13,13,50.0,Matches
104,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20,2000,8.8,0,0,0,5,16,8,2,0,5,1,0,0,28,11,30,26.8,Matches
105,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,28,1991,24.3,4,1,0,23,28,1,0,53,47,0,0,0,305,103,53,66.0,Matches
106,Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Matches
107,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31,1989,15.0,2,0,0,21,12,0,4,15,16,0,0,0,154,32,21,60.4,Matches
108,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,26,1994,12.8,0,0,0,20,18,3,16,6,15,0,0,1,68,4,25,13.8,Matches
109,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,27,1992,33.9,3,0,0,29,34,0,102,39,41,0,0,0,322,50,42,54.3,Matches
110,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,30,1989,35.2,3,0,0,13,18,0,91,36,13,0,0,0,307,38,30,55.9,Matches
111,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,22,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
112,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29,1991,37.9,7,0,0,41,51,0,56,59,52,0,0,0,367,41,37,52.6,Matches
113,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,1,0,0,7,6,0,0,8,7,0,0,0,148,49,34,59.0,Matches
114,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0,0,0,3,0,0,1,0,0,0,0,103,0,0,,Matches
115,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27,1993,15.0,1,0,0,19,14,1,24,13,13,1,0,0,101,34,20,63.0,Matches
116,Tom Davies\Tom-Davies,eng ENG,MF,Everton,22,1998,15.8,3,0,0,28,26,0,5,34,28,0,1,0,130,9,16,36.0,Matches
117,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,0,0,0,4,5,0,6,0,3,0,0,0,12,17,17,50.0,Matches
118,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0.0,Matches
119,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30,1990,21.4,5,1,1,14,12,2,0,39,11,0,0,2,153,65,28,69.9,Matches
120,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1,0,0,27,32,1,65,16,31,2,0,0,157,8,14,36.4,Matches
121,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
122,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,30,1989,3.0,1,0,0,3,7,0,3,4,2,0,0,0,29,0,0,,Matches
123,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,4,0,0,30,12,4,8,27,29,0,0,1,232,83,51,61.9,Matches
124,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,28,1991,13.2,2,0,0,17,23,17,5,2,4,0,0,0,47,48,100,32.4,Matches
125,Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,0,0,2,4,0,0,3,3,0,0,0,11,1,2,33.3,Matches
126,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,21,1999,11.3,3,0,0,22,11,0,7,16,25,0,1,0,126,8,19,29.6,Matches
127,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,0,0,0,11,35,4,15,14,19,0,0,0,80,15,37,28.8,Matches
128,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,23,1996,26.2,3,0,0,13,31,15,75,31,19,0,0,0,159,12,38,24.0,Matches
129,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23,1997,31.6,4,0,0,21,20,1,2,22,21,0,2,1,272,60,28,68.2,Matches
130,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,26,1994,28.0,3,0,0,16,13,0,4,23,15,0,2,0,269,90,48,65.2,Matches
131,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,27,1993,29.8,2,1,0,35,22,4,132,26,40,0,0,0,284,94,39,70.7,Matches
132,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29,1991,4.1,1,0,0,4,2,1,0,0,1,0,0,0,48,16,7,69.6,Matches
133,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,23,1997,15.3,3,0,0,8,8,1,1,14,19,0,0,1,111,30,20,60.0,Matches
134,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22,1998,13.8,5,0,0,29,39,3,10,11,22,1,1,0,119,11,33,25.0,Matches
135,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,28,1992,13.8,4,1,1,20,12,0,24,18,8,0,1,0,114,54,23,70.1,Matches
136,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,22,1997,22.2,4,1,1,24,26,0,3,23,17,0,1,0,177,69,45,60.5,Matches
137,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,27,1993,27.1,6,0,0,23,12,0,10,35,42,0,0,0,304,37,26,58.7,Matches
138,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0,0,0,5,0,0,0,0,0,0,0,65,0,0,,Matches
139,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,28,1991,13.9,2,0,0,9,4,0,9,17,11,0,0,0,72,39,31,55.7,Matches
140,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,2,0,21,20,2,1,29,19,0,0,1,408,69,40,63.3,Matches
141,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,22,1997,3.0,1,0,0,2,3,0,0,3,2,0,0,0,59,23,7,76.7,Matches
142,Ederson\Ederson,br BRA,GK,Manchester City,26,1993,36.0,3,0,0,1,4,0,0,0,0,0,0,0,132,0,0,,Matches
143,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,,Matches
144,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,7,1,0,29,11,0,2,41,30,0,0,0,259,86,57,60.1,Matches
145,Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,0,0,0,2,4,1,1,1,1,0,0,0,7,2,4,33.3,Matches
146,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,2,0,0,6,3,0,32,27,13,0,0,0,97,27,9,75.0,Matches
147,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28,1992,17.2,3,0,0,10,10,0,3,20,11,0,0,0,144,8,19,29.6,Matches
148,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,32,1988,27.5,7,0,0,18,12,1,2,41,12,0,0,1,354,93,38,71.0,Matches
149,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,3,0,0,18,71,1,26,29,23,0,0,0,203,12,32,27.3,Matches
150,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35,1985,35.0,2,0,0,1,2,0,0,0,0,0,1,0,164,0,0,,Matches
151,Fabinho\Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,6,0,0,29,27,0,2,49,51,1,2,0,319,62,52,54.4,Matches
152,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,6,0,0,43,53,3,91,22,39,0,1,0,239,13,43,23.2,Matches
153,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,31,1989,23.1,4,0,0,15,14,0,10,17,17,0,1,1,158,46,36,56.1,Matches
154,Fernandinho\Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,6,0,0,22,10,0,6,26,22,0,0,0,132,29,18,61.7,Matches
155,Sam Field\Sam-Field,eng ENG,MF,West Brom,22,1998,0.7,0,0,0,2,1,0,0,0,7,0,0,0,12,1,2,33.3,Matches
156,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,28,1991,31.5,2,0,0,22,17,4,32,10,22,0,0,0,204,25,87,22.3,Matches
157,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,28,1991,28.6,4,0,0,33,28,1,35,38,27,0,0,0,235,9,19,32.1,Matches
158,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20,2000,18.0,0,0,0,13,34,3,36,12,16,0,0,0,93,14,30,31.8,Matches
159,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,19,2000,25.1,7,0,0,37,29,2,1,51,41,1,1,0,279,94,55,63.1,Matches
160,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,24,1996,28.6,3,0,0,29,17,7,33,33,29,0,0,0,216,25,37,40.3,Matches
161,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32,1988,8.0,0,0,0,1,3,0,0,0,0,0,1,0,40,0,0,,Matches
162,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,1,0,0,1,0,1,5,1,1,0,0,0,11,1,0,100.0,Matches
163,Tyrese Francois\Tyrese-Francois,au AUS,DF,Fulham,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
164,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,26,1994,10.3,2,1,1,5,20,0,52,3,1,1,0,0,58,5,26,16.1,Matches
165,Fred\Fred,br BRA,MF,Manchester Utd,27,1993,26.6,5,0,0,46,30,1,7,47,55,0,0,0,311,10,14,41.7,Matches
166,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,27,1992,6.3,2,0,0,11,10,1,18,8,6,0,0,0,56,9,14,39.1,Matches
167,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34,1986,7.8,4,0,0,14,5,0,8,12,9,0,1,0,80,24,14,63.2,Matches
168,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,24,1995,32.6,5,0,0,33,33,3,73,27,17,0,2,1,212,129,75,63.2,Matches
