Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
509,Timo Werner\Timo-Werner,FW,Chelsea,35,2602,28.9,11.9,6.1,28,24,34,4,77.2,34,31,0,0
510,Ashley Westwood\Ashley-Westwood,MF,Burnley,38,3410,37.9,1.1,5,25,50,73,49,73.7,49,6,0,0
511,Ben White\Ben-White,DFMF,Brighton,36,3191,35.5,0.7,0.7,56,69,101,78,83.2,8,0,0,0
512,Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,38,2941,32.7,3.2,1.8,30,37,55,24,93.3,22,9,0,0
513,Brandon Williams\Brandon-Williams,DF,Manchester Utd,4,188,2.1,0.1,0,1,5,10,3,85.7,1,1,0,0
514,Neco Williams\Neco-Williams,DF,Liverpool,6,249,2.8,0.1,0.3,6,8,11,4,73.2,3,0,0,0
515,Rhys Williams\Rhys-Williams,DF,Liverpool,9,661,7.3,0.5,0.4,6,5,14,67,92,2,0,0,0
516,Willian\Willian,FWMF,Arsenal,25,1406,15.6,2.1,2.5,16,22,28,4,79.3,29,3,0,0
517,Joe Willock\Joe-Willock,MF,Arsenal,7,238,2.6,0.4,0,4,9,9,0,75.8,2,0,0,0
518,Joe Willock\Joe-Willock,MF,Newcastle Utd,14,978,10.9,3.6,0.7,34,30,66,15,76.9,8,12,0,0
519,Callum Wilson\Callum-Wilson,FW,Newcastle Utd,26,2084,23.2,11.3,2.2,13,18,16,12,69.7,14,16,0,0
520,Harry Winks\Harry-Winks,MF,Tottenham,15,861,9.6,0.1,0.3,24,12,40,12,84.2,5,1,0,0
521,Chris Wood\Chris-Wood,FW,Burnley,33,2741,30.5,13.3,2.2,17,27,22,19,66.9,23,37,0,0
522,Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,31,2522,28,0.8,1.6,58,33,83,55,89.9,18,6,0,0
523,Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,15,375,4.2,0.4,1,6,7,9,1,79,5,2,0,0
524,DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,6,436,4.8,0.1,0.1,10,9,13,19,64.5,3,0,0,0
525,Okay YokuÅŸlu\Okay-Yokuslu,MF,West Brom,16,1317,14.6,0.9,0.6,47,25,89,40,83.2,5,0,0,0
526,Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,30,2612,29,7.5,3.3,34,21,60,2,75.9,27,19,0,0
527,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,36,2587,28.7,1.8,2.2,87,47,142,34,84.9,27,8,0,0
528,Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,9,171,1.9,0.6,0.1,3,2,3,1,46.5,1,2,0,0
529,Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,20,1478,16.4,0.7,1.3,21,26,41,49,90.2,13,4,0,0
530,Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,23,1172,13,1.9,3.7,10,14,20,1,74.7,34,12,0,0
531,Kurt Zouma\Kurt-Zouma,DF,Chelsea,24,2029,22.5,1.8,0,21,23,47,129,91.9,2,12,0,0
532,Martin Ã˜degaard\Martin-Odegaard,MF,Arsenal,14,866,9.6,1.1,2.1,7,3,12,5,86.4,21,3,0,0
