long_name,club_name,league_name,value_eur
Sargis Adamyan,TSG 1899 Hoffenheim,German 1. Bundesliga,6500000
Stefan Posch,TSG 1899 Hoffenheim,German 1. Bundesliga,8000000
Aílton Ferreira Silva,VfB Stuttgart,German 1. Bundesliga,6500000
Alkhaly Momo Cissé,VfB Stuttgart,German 1. Bundesliga,300000
Antonis Aidonis,VfB Stuttgart,German 1. Bundesliga,180000
Atakan Karazor,VfB Stuttgart,German 1. Bundesliga,2100000
Borna Sosa,VfB Stuttgart,German 1. Bundesliga,1300000
Clinton Mola,VfB Stuttgart,German 1. Bundesliga,1300000
Daniel Didavi,VfB Stuttgart,German 1. Bundesliga,6500000
Darko Churlinov,VfB Stuttgart,German 1. Bundesliga,975000
遠藤 航,VfB Stuttgart,German 1. Bundesliga,7000000
Erik Thommy,VfB Stuttgart,German 1. Bundesliga,8000000
Fabian Bredlow,VfB Stuttgart,German 1. Bundesliga,1000000
Gonzalo Castro Randon,VfB Stuttgart,German 1. Bundesliga,2300000
Gregor Kobel,VfB Stuttgart,German 1. Bundesliga,7000000
Hamadi Al Ghaddioui,VfB Stuttgart,German 1. Bundesliga,1100000
Holger Badstuber,VfB Stuttgart,German 1. Bundesliga,2300000
Jens Grahl,VfB Stuttgart,German 1. Bundesliga,425000
Konstantinos Mavropanos,VfB Stuttgart,German 1. Bundesliga,6500000
Lilian Egloff,VfB Stuttgart,German 1. Bundesliga,350000
Luca Mack,VfB Stuttgart,German 1. Bundesliga,210000
Marcin Kamiński,VfB Stuttgart,German 1. Bundesliga,1700000
Marc-Oliver Kempf,VfB Stuttgart,German 1. Bundesliga,6500000
Mateo Klimowicz,VfB Stuttgart,German 1. Bundesliga,450000
Maxime Awoudja,VfB Stuttgart,German 1. Bundesliga,375000
Nicolás Iván González,VfB Stuttgart,German 1. Bundesliga,10000000
Orel Mangala,VfB Stuttgart,German 1. Bundesliga,4500000
Pascal Stenzel,VfB Stuttgart,German 1. Bundesliga,3500000
Philipp Förster,VfB Stuttgart,German 1. Bundesliga,2200000
Phillipp Klement,VfB Stuttgart,German 1. Bundesliga,1900000
Roberto Massimo,VfB Stuttgart,German 1. Bundesliga,1100000
Saša Kalajdžić,VfB Stuttgart,German 1. Bundesliga,1200000
Silas Wamangituka,VfB Stuttgart,German 1. Bundesliga,3200000
Tanguy Coulibaly,VfB Stuttgart,German 1. Bundesliga,325000
Waldemar Anton,VfB Stuttgart,German 1. Bundesliga,4000000
Admir Mehmedi,VfL Wolfsburg,German 1. Bundesliga,7500000
Bartosz Białek,VfL Wolfsburg,German 1. Bundesliga,1300000
Charles-Jesaja Herrmann,VfL Wolfsburg,German 1. Bundesliga,600000
Daniel Ginczek,VfL Wolfsburg,German 1. Bundesliga,7500000
Davide-Jerome Itter,VfL Wolfsburg,German 1. Bundesliga,400000
Dominik Marx,VfL Wolfsburg,German 1. Bundesliga,425000
Felix Klaus,VfL Wolfsburg,German 1. Bundesliga,6000000
Jérôme Roussillon,VfL Wolfsburg,German 1. Bundesliga,14500000
Jeffrey Bruma,VfL Wolfsburg,German 1. Bundesliga,4900000
João Victor Santos Sá,VfL Wolfsburg,German 1. Bundesliga,8000000
John Brooks,VfL Wolfsburg,German 1. Bundesliga,8500000
Josip Brekalo,VfL Wolfsburg,German 1. Bundesliga,11000000
Josuha Guilavogui,VfL Wolfsburg,German 1. Bundesliga,9000000
Kevin Mbabu,VfL Wolfsburg,German 1. Bundesliga,14500000
Koen Casteels,VfL Wolfsburg,German 1. Bundesliga,22500000
Lino Björn Kasten,VfL Wolfsburg,German 1. Bundesliga,550000
Marin Pongračić,VfL Wolfsburg,German 1. Bundesliga,11000000
Maxence Lacroix,VfL Wolfsburg,German 1. Bundesliga,1300000
Maximilian Arnold,VfL Wolfsburg,German 1. Bundesliga,13500000
Niklas Klinger,VfL Wolfsburg,German 1. Bundesliga,300000
Omar Khaled Mohamed Marmoush,VfL Wolfsburg,German 1. Bundesliga,375000
Paulo Otávio Rosa da Silva,VfL Wolfsburg,German 1. Bundesliga,4400000
Pavao Pervan,VfL Wolfsburg,German 1. Bundesliga,3400000
Renato Steffen,VfL Wolfsburg,German 1. Bundesliga,10500000
Tim Siersleben,VfL Wolfsburg,German 1. Bundesliga,550000
William de Asevedo Furtado,VfL Wolfsburg,German 1. Bundesliga,8500000
Wout Weghorst,VfL Wolfsburg,German 1. Bundesliga,19000000
Xaver Schlager,VfL Wolfsburg,German 1. Bundesliga,10500000
Yannick Gerhardt,VfL Wolfsburg,German 1. Bundesliga,8000000
Yunus Mallı,VfL Wolfsburg,German 1. Bundesliga,5500000
